distance,myBulletPower,opponentAdvancingVelocity,opponentCurrentGuessFactor,opponentLateralVelocity,type,guessFactor
298.63,2.99,0.00,-0.00,0.00,HIT,0.01
159.49,2.99,-0.00,0.00,-0.00,HIT,0.04
249.33,2.99,-0.00,0.00,0.00,HIT,0.00
309.75,2.99,-0.00,0.00,0.00,HIT,0.00
358.30,2.99,-0.00,-0.00,0.00,HIT,0.00
401.23,2.99,-0.00,-0.00,0.00,HIT,-0.00
440.11,2.99,-0.00,-0.00,0.00,HIT,-0.00
475.91,2.99,0.00,0.00,0.00,HIT,0.00
225.10,2.99,-0.00,0.00,-0.00,HIT,-0.00
298.15,2.99,0.00,-0.00,-0.00,HIT,0.01
264.11,2.99,0.00,0.00,-0.00,HIT,0.02
235.96,2.99,0.00,-0.00,-0.00,HIT,0.06
300.38,2.99,0.00,0.00,-0.00,HIT,0.02
350.17,2.99,-0.00,-0.00,-0.00,HIT,-0.00
393.95,2.99,-0.00,-0.00,-0.00,HIT,-0.00
289.02,2.99,0.00,0.00,-0.00,HIT,-0.01
340.39,2.99,0.00,-0.00,-0.00,HIT,-0.00
385.25,2.99,0.00,0.00,-0.00,HIT,0.00
425.55,2.99,0.00,-0.00,0.00,HIT,-0.00
462.45,2.99,0.00,-0.00,0.00,HIT,0.00
496.67,2.99,0.00,-0.00,0.00,HIT,0.00
528.73,2.99,0.00,-0.00,0.00,HIT,-0.00
286.36,2.99,0.00,0.00,-0.00,HIT,0.01
323.43,2.99,0.00,0.00,0.00,HIT,0.01
364.70,2.99,0.00,-0.00,0.00,HIT,0.01
321.46,2.99,0.00,-0.00,0.00,HIT,0.00
264.54,2.99,0.00,0.00,0.00,HIT,-0.01
253.92,2.99,-0.00,-0.00,0.00,HIT,-0.01
297.90,2.99,-0.00,-0.00,0.00,HIT,0.00
220.33,2.99,-0.00,0.00,-0.00,HIT,-0.01
205.34,2.99,0.00,-0.00,-0.00,HIT,0.00
226.08,2.99,0.00,-0.00,-0.00,HIT,-0.00
288.37,2.99,0.00,0.00,-0.00,HIT,0.00
304.52,2.99,0.00,-0.00,0.00,HIT,0.00
315.52,2.99,0.00,-0.00,0.00,HIT,0.00
356.84,2.99,0.00,0.00,0.00,HIT,-0.00
291.23,2.99,-0.00,0.00,0.00,HIT,0.00
342.29,2.99,-0.00,0.00,0.00,HIT,-0.00
386.57,2.99,-0.00,-0.00,-0.00,HIT,0.00
366.15,2.99,-0.00,-0.00,-0.00,HIT,0.00
294.90,2.99,-0.00,0.00,-0.00,HIT,0.01
244.94,2.99,-0.00,-0.00,-0.00,HIT,0.03
230.62,2.99,-0.00,-0.00,-0.00,HIT,0.02
278.68,2.99,0.00,0.00,-0.00,HIT,-0.01
295.77,2.99,0.00,-0.00,-0.00,HIT,0.01
326.04,2.99,0.00,-0.00,-0.00,HIT,-0.00
372.56,2.99,0.00,0.00,0.00,HIT,-0.00
414.06,2.99,0.00,-0.00,0.00,HIT,-0.00
451.87,2.99,0.00,-0.00,0.00,HIT,0.00
