distance,myBulletPower,opponentAdvancingVelocity,opponentBackwardWall,opponentCurrentGuessFactor,opponentForwardWall,opponentLateralVelocity,opponentTimeSinceLastDeceleration,type,guessFactor
594.42,1.99,3.83,0.66,0.76,0.90,7.02,5.00,MISS,0.77
615.92,1.99,5.66,0.55,0.61,0.90,5.66,19.00,MISS,0.62
650.87,1.99,6.97,0.41,0.87,0.87,3.92,34.00,MISS,0.17
633.80,1.99,-1.44,0.38,0.63,0.92,7.87,8.00,MISS,-0.20
629.36,1.99,1.02,0.56,0.61,0.91,5.86,0.00,MISS,-0.14
543.34,1.99,5.03,0.39,-0.35,0.89,6.22,14.00,MISS,0.11
630.35,1.99,5.29,0.59,-0.19,0.86,6.00,28.00,MISS,-0.49
710.40,1.99,-0.67,0.69,-0.65,0.72,3.53,3.00,MISS,0.04
762.97,1.99,-1.35,0.59,0.56,0.86,3.51,4.00,MISS,0.17
502.87,1.99,0.73,0.61,0.32,0.92,7.97,13.00,MISS,0.70
476.71,1.99,5.96,0.57,-0.31,0.87,5.33,5.00,MISS,0.56
537.86,1.99,7.95,0.43,0.53,0.74,0.91,19.00,MISS,0.91
528.40,1.99,0.99,0.46,0.34,0.91,7.94,12.00,MISS,1.00
547.79,1.99,1.96,0.64,0.70,0.93,7.76,6.00,HIT,0.92
544.03,1.99,4.29,0.61,0.74,0.91,6.75,20.00,MISS,0.64
554.19,1.99,5.53,0.51,0.66,0.85,3.30,1.00,MISS,0.49
627.26,1.99,7.98,0.30,0.83,0.81,0.60,16.00,MISS,0.68
716.13,0.10,6.83,0.78,0.56,0.15,0.60,0.00,MISS,-1.00
664.49,0.10,0.12,0.13,0.62,0.95,8.00,8.00,HIT,0.93
280.03,1.99,0.49,0.52,0.00,0.89,7.98,30.00,MISS,1.00
317.85,1.99,-0.00,0.54,0.69,0.48,8.00,9.00,MISS,-0.11
318.85,1.99,-0.61,0.19,0.58,0.87,3.66,4.00,MISS,1.00
342.31,1.99,-1.21,0.40,0.62,0.92,7.91,18.00,MISS,0.72
365.34,1.99,-1.08,0.59,0.59,0.94,7.93,32.00,MISS,-0.77
410.01,1.99,2.78,0.62,-0.00,0.90,7.50,8.00,MISS,0.78
503.68,1.99,5.70,0.49,0.42,0.85,5.62,22.00,MISS,0.66
612.67,1.99,0.00,0.43,0.71,0.85,0.00,1.00,HIT,0.91
626.79,1.99,-0.63,0.41,0.50,0.92,7.98,10.00,MISS,1.00
647.75,1.99,2.10,0.60,0.64,0.90,7.72,24.00,MISS,0.60
727.14,1.99,1.69,0.44,0.19,0.89,7.82,18.00,BULLETHITBULLET,0.85
738.49,1.99,-0.16,0.56,-0.44,0.82,8.00,11.00,BULLETHITBULLET,0.91
737.17,1.99,-0.33,0.43,0.73,0.92,4.13,4.00,HIT,0.92
741.80,1.99,2.33,0.71,0.82,0.79,7.65,26.00,BULLETHITBULLET,0.84
471.91,1.99,5.24,0.52,0.25,0.90,6.05,9.00,MISS,0.68
489.48,1.99,6.85,0.37,-0.02,0.86,4.13,23.00,HIT,0.68
542.14,1.99,4.27,0.25,0.48,0.75,1.56,0.00,HIT,0.93
514.76,1.99,0.83,0.23,0.45,0.92,7.96,14.00,HIT,1.00
677.44,1.99,-0.74,0.54,0.00,0.88,7.97,25.00,HIT,0.85
688.44,1.99,-0.72,0.71,0.33,0.68,7.97,40.00,MISS,0.34
657.32,1.99,-1.62,0.74,0.62,0.43,7.83,7.00,MISS,-0.38
546.15,1.99,0.01,0.86,0.87,0.19,0.93,0.00,MISS,-1.00
491.74,1.99,-0.72,0.44,0.45,0.94,7.97,13.00,HIT,0.97
514.21,1.99,1.80,0.65,-0.33,0.92,7.79,3.00,MISS,0.60
565.42,1.99,1.81,0.72,0.71,0.82,7.79,17.00,MISS,-0.03
621.62,1.99,0.48,0.46,0.22,0.93,7.99,12.00,MISS,-0.58
657.69,1.99,1.28,0.64,-0.58,0.88,4.08,0.00,MISS,-0.70
607.65,1.99,-1.27,0.74,0.07,0.47,7.90,14.00,MISS,-0.04
499.43,1.99,-0.70,0.69,-0.46,0.20,7.97,11.00,MISS,-0.91
418.56,1.99,1.15,0.10,-0.77,0.91,7.26,7.00,HIT,1.00
466.11,1.99,2.01,0.55,0.03,0.93,7.74,21.00,HIT,0.85
525.52,1.99,1.22,0.70,0.83,0.88,4.84,0.00,MISS,0.11
549.93,1.99,3.26,0.56,0.38,0.88,6.85,7.00,HIT,0.95
636.29,1.99,5.65,0.69,-0.47,0.82,5.67,21.00,HIT,0.65
395.56,1.99,7.71,0.48,0.00,0.80,2.15,27.00,MISS,0.77
506.82,1.99,7.00,0.26,0.19,0.85,3.88,7.00,HIT,0.67
601.49,1.99,7.49,0.17,0.50,0.85,2.81,21.00,HIT,0.66
684.15,1.99,7.84,0.14,0.73,0.83,1.59,35.00,MISS,0.70
713.71,1.99,-1.79,0.27,0.50,0.92,7.80,9.00,MISS,0.30
704.93,1.99,-1.12,0.55,0.52,0.83,7.92,7.00,MISS,-0.38
692.02,1.99,-0.74,0.74,0.73,0.67,4.97,0.00,MISS,-0.48
704.57,1.99,1.03,0.66,0.42,0.78,7.93,11.00,MISS,-0.17
704.02,1.99,-1.70,0.75,-0.64,0.77,7.82,10.00,MISS,-0.92
659.28,1.99,-0.21,0.67,-0.55,0.89,8.00,9.00,HIT,0.98
462.16,1.99,-3.94,0.66,-0.73,0.73,6.96,5.00,HIT,0.90
290.76,1.99,-2.65,0.50,0.95,0.46,7.55,21.00,MISS,0.24
248.46,1.99,0.33,0.15,0.80,0.70,2.73,3.00,MISS,1.00
306.90,1.99,1.61,0.46,0.86,0.92,7.84,17.00,HIT,0.94
369.25,1.99,1.22,0.66,0.54,0.92,6.76,2.00,HIT,0.89
424.63,1.99,1.49,0.65,0.49,0.85,7.86,16.00,MISS,0.26
508.90,0.14,2.02,0.55,-0.38,0.96,7.74,15.00,HIT,0.90
329.53,1.99,6.64,0.62,0.00,0.79,2.72,1.00,MISS,0.36
471.51,1.99,7.36,0.68,0.12,0.82,3.13,15.00,HIT,0.67
598.55,1.99,6.97,0.74,0.19,0.65,3.93,29.00,MISS,0.28
624.43,1.99,-3.43,0.74,0.32,0.59,7.23,9.00,BULLETHITBULLET,-0.15
617.48,1.99,-0.33,0.28,0.50,0.93,5.65,5.00,MISS,1.00
620.48,1.99,2.37,0.52,-0.22,0.93,7.64,20.00,MISS,0.58
701.41,1.99,5.28,0.71,0.89,0.76,6.01,21.00,MISS,-0.38
747.96,1.99,-1.51,0.47,0.33,0.91,7.86,11.00,HIT,0.99
731.01,1.99,0.14,0.54,-0.24,0.83,6.26,1.00,MISS,1.00
760.29,1.99,2.29,0.68,-0.81,0.74,7.67,15.00,MISS,0.66
607.45,1.99,-0.82,0.69,0.31,0.72,7.96,10.00,MISS,-0.51
492.27,1.99,1.53,0.51,-0.20,0.93,7.85,19.00,BULLETHITBULLET,0.91
527.70,1.99,-1.26,0.42,-0.43,0.92,5.21,5.00,HIT,0.93
540.13,1.99,4.58,0.67,0.76,0.91,6.56,33.00,MISS,1.00
549.51,1.99,3.57,0.60,0.30,0.91,7.16,9.00,HIT,0.92
550.73,1.99,5.59,0.51,0.61,0.89,5.72,23.00,MISS,0.95
591.99,1.99,4.78,0.45,0.87,0.86,2.62,0.00,HIT,0.93
397.44,1.99,6.07,0.63,-0.25,0.84,5.21,11.00,HIT,0.69
514.95,1.99,7.53,0.73,-0.73,0.82,2.71,25.00,HIT,0.68
580.13,1.99,7.59,0.56,0.50,0.81,1.49,1.00,MISS,0.79
582.67,1.99,4.87,0.41,0.70,0.89,5.03,7.00,MISS,0.81
624.23,1.99,6.91,0.30,0.57,0.85,4.03,21.00,MISS,0.89
681.62,1.99,2.53,0.21,0.61,0.91,5.68,5.00,HIT,1.00
689.21,1.99,2.17,0.41,0.69,0.91,7.70,19.00,HIT,0.86
716.89,1.99,3.08,0.64,0.78,0.83,7.38,33.00,MISS,0.40
697.89,1.99,-3.49,0.75,0.82,0.72,7.20,11.00,MISS,-0.19
619.08,1.99,-3.67,0.75,0.79,0.59,7.11,25.00,MISS,-0.97
592.24,1.99,1.85,0.46,0.49,0.93,7.78,10.00,HIT,0.92
674.43,1.99,6.06,0.74,-0.90,0.80,5.22,21.00,MISS,0.56
688.53,1.99,7.72,0.64,0.79,0.64,2.08,4.00,HIT,0.79
520.96,1.99,6.33,0.71,0.00,0.52,4.89,23.00,MISS,-0.53
645.31,1.99,1.43,0.45,-0.40,0.92,7.87,3.00,BULLETHITBULLET,0.93
618.09,1.99,0.09,0.26,0.17,0.93,5.97,6.00,MISS,0.93
615.98,1.99,-0.01,0.67,0.69,0.92,7.61,2.00,MISS,0.36
647.60,1.99,1.14,0.75,0.33,0.77,7.92,17.00,MISS,-0.27
623.83,1.99,2.06,0.48,0.39,0.92,7.73,15.00,MISS,0.87
663.38,1.99,7.61,0.69,0.76,0.69,2.48,21.00,MISS,0.58
707.91,1.99,5.60,0.58,0.52,0.64,0.96,0.00,HIT,0.93
602.25,1.99,-4.08,0.54,0.36,0.89,6.88,12.00,HIT,0.98
531.79,1.99,-1.26,0.62,0.54,0.92,7.90,26.00,MISS,1.00
546.96,1.99,1.68,0.70,0.69,0.93,7.82,7.00,MISS,1.00
611.78,1.99,4.50,0.63,0.80,0.91,6.61,23.00,MISS,0.78
649.87,1.99,4.91,0.55,0.67,0.91,6.32,5.00,MISS,0.70
695.35,1.99,6.37,0.48,0.94,0.87,4.84,19.00,HIT,0.67
565.54,1.99,6.42,0.59,0.00,0.86,4.77,26.00,HIT,0.67
675.72,1.99,7.44,0.57,0.20,0.77,2.94,40.00,MISS,0.95
745.59,1.99,0.93,0.58,0.30,0.81,3.89,4.00,HIT,0.91
725.16,1.99,1.91,0.67,0.58,0.80,7.77,18.00,MISS,0.72
689.79,1.99,3.85,0.64,0.75,0.76,7.01,33.00,HIT,0.63
641.77,1.99,-0.76,0.62,0.88,0.81,7.96,12.00,MISS,0.78
556.75,1.99,-4.85,0.68,0.69,0.85,1.46,0.00,HIT,0.93
523.13,1.99,3.14,0.70,0.46,0.92,7.36,14.00,MISS,0.96
618.06,1.99,3.87,0.65,0.76,0.92,7.00,5.00,MISS,0.75
689.17,1.99,5.81,0.52,0.69,0.90,5.50,20.00,MISS,0.77
736.25,1.99,4.86,0.42,0.94,0.87,2.90,0.00,HIT,0.93
699.41,1.99,-0.54,0.39,0.64,0.92,7.98,12.00,HIT,0.99
699.86,1.99,2.13,0.50,0.59,0.87,7.71,10.00,MISS,0.75
749.22,1.99,4.14,0.63,0.74,0.79,6.85,24.00,MISS,0.18
712.57,1.69,-1.87,0.66,0.78,0.77,7.78,16.00,MISS,-0.73
623.43,1.41,-3.92,0.68,0.45,0.80,6.97,9.00,MISS,0.44
389.49,0.98,-0.00,0.46,-0.74,0.88,3.20,3.00,HIT,0.92
478.37,1.99,0.54,0.69,0.00,0.90,7.98,29.00,MISS,0.43
514.38,1.99,0.59,0.69,0.41,0.67,7.98,43.00,MISS,-0.49
549.95,1.99,1.61,0.34,0.66,0.88,2.22,3.00,HIT,0.92
601.91,1.99,6.38,0.47,-0.05,0.87,4.83,17.00,MISS,0.75
672.27,1.99,6.96,0.63,-0.40,0.83,3.94,31.00,MISS,0.39
764.22,1.99,2.16,0.74,0.69,0.53,7.70,28.00,MISS,-0.67
741.53,1.99,-0.16,0.35,0.60,0.92,5.99,6.00,HIT,0.93
737.70,1.99,1.53,0.42,0.08,0.88,5.62,0.00,HIT,0.94
720.16,1.99,-0.10,0.63,-0.61,0.84,8.00,18.00,MISS,0.48
709.32,1.99,1.80,0.73,0.89,0.80,7.79,33.00,MISS,-0.12
687.64,1.99,-2.58,0.77,0.61,0.73,7.57,11.00,MISS,-0.82
629.65,1.99,-0.52,0.53,0.53,0.92,7.98,11.00,MISS,0.85
626.68,1.99,2.30,0.61,-0.46,0.85,7.66,25.00,MISS,0.71
686.95,1.99,2.96,0.72,0.61,0.75,6.76,2.00,MISS,0.56
418.93,1.99,6.81,0.35,0.57,0.76,0.42,7.00,MISS,0.53
478.79,1.99,0.78,0.22,0.26,0.93,7.96,11.00,HIT,0.98
494.76,1.99,0.84,0.57,-0.72,0.93,7.96,2.00,MISS,1.00
485.49,1.99,0.13,0.68,0.77,0.92,8.00,16.00,BULLETHITBULLET,0.91
472.72,1.45,3.20,0.66,0.85,0.93,7.33,5.00,HIT,0.91
322.37,1.99,-2.51,0.53,0.00,0.79,7.60,30.00,HIT,0.71
351.24,1.99,5.85,0.19,-0.45,0.86,5.46,12.00,MISS,0.88
533.70,1.99,3.88,0.62,0.62,0.91,7.00,7.00,MISS,1.00
536.94,1.99,-0.03,0.71,0.65,0.93,8.00,21.00,MISS,0.99
520.32,1.99,-0.01,0.71,1.00,0.91,8.00,35.00,MISS,0.72
518.16,1.99,1.46,0.71,0.92,0.80,7.87,11.00,MISS,0.34
522.51,1.99,1.45,0.71,0.88,0.53,7.87,25.00,MISS,-0.49
516.24,1.99,-0.50,0.24,0.76,0.89,3.45,3.00,MISS,1.00
494.11,1.99,1.63,0.51,-0.21,0.93,7.83,17.00,MISS,1.00
511.24,1.99,3.01,0.66,0.76,0.91,7.41,12.00,HIT,0.92
541.68,1.99,3.41,0.68,0.70,0.93,7.23,26.00,MISS,0.56
558.74,1.99,4.86,0.70,0.75,0.79,6.36,19.00,MISS,-0.24
570.17,1.99,4.81,0.70,0.87,0.49,6.39,33.00,MISS,-0.98
518.18,1.99,1.02,0.42,0.30,0.93,7.94,14.00,HIT,0.98
545.80,1.99,1.80,0.64,-0.81,0.93,7.80,8.00,HIT,0.96
621.33,1.99,7.62,0.34,0.85,0.83,2.44,16.00,BULLETHITBULLET,0.68
571.80,1.99,6.31,0.50,0.64,0.86,3.91,2.00,MISS,0.61
701.83,1.99,7.94,0.21,0.57,0.82,0.94,30.00,MISS,0.91
698.43,1.99,0.38,0.13,0.37,0.92,5.99,8.00,HIT,1.00
447.73,1.99,7.11,0.68,0.00,0.77,3.67,24.00,MISS,0.51
555.55,1.99,-2.65,0.41,0.40,0.92,7.55,10.00,BULLETHITBULLET,0.98
569.71,1.99,7.85,0.57,0.20,0.65,1.52,38.00,HIT,0.65
531.34,1.99,1.03,0.58,0.72,0.91,7.93,26.00,MISS,-0.11
528.34,1.99,-2.06,0.70,-0.05,0.59,7.73,8.00,HIT,-0.46
461.33,1.99,0.71,0.24,-0.43,0.89,2.77,3.00,MISS,1.00
459.84,1.99,3.71,0.57,-0.12,0.91,7.09,17.00,MISS,1.00
574.88,1.99,2.33,0.66,1.00,0.93,7.65,6.00,HIT,0.92
569.60,1.99,2.35,0.68,0.89,0.87,7.65,20.00,MISS,0.56
434.38,1.99,3.70,0.31,0.19,0.91,7.09,12.00,HIT,0.98
490.47,1.99,6.01,0.54,0.37,0.87,5.28,26.00,MISS,1.00
527.85,1.99,5.17,0.60,0.65,0.89,6.10,5.00,MISS,1.00
570.49,1.99,2.52,0.63,0.60,0.92,7.59,19.00,MISS,0.78
520.59,1.99,7.03,0.41,0.52,0.85,3.81,9.00,HIT,0.68
544.43,1.99,0.48,0.47,0.48,0.92,6.66,1.00,BULLETHITBULLET,0.91
252.80,1.99,7.69,0.17,0.00,0.77,2.22,3.00,MISS,0.80
383.61,1.99,6.82,0.28,0.31,0.85,4.19,17.00,MISS,0.83
480.99,1.99,1.78,0.47,0.61,0.93,7.80,10.00,MISS,0.22
517.19,1.99,0.55,0.62,0.75,0.93,7.98,24.00,MISS,-0.45
547.39,1.99,0.24,0.63,0.33,0.88,8.00,10.00,MISS,-0.35
579.53,1.99,-2.84,0.73,-0.11,0.54,7.48,17.00,MISS,-0.73
567.13,1.99,1.98,0.30,0.57,0.91,4.52,5.00,MISS,0.86
636.51,1.99,5.80,0.36,-0.34,0.89,5.51,22.00,MISS,0.34
697.72,1.99,6.78,0.50,-0.69,0.85,4.25,36.00,MISS,-0.20
720.86,1.99,-2.21,0.65,0.78,0.82,7.69,5.00,MISS,-0.77
691.37,1.99,-0.20,0.68,0.51,0.78,4.01,4.00,MISS,0.82
709.14,1.99,2.43,0.73,-0.01,0.64,7.62,20.00,MISS,-0.04
751.84,1.99,-0.66,0.77,-0.69,0.58,7.97,9.00,BULLETHITBULLET,-0.55
751.79,1.99,-1.05,0.57,0.87,0.87,3.33,3.00,HIT,0.92
687.81,1.99,-2.24,0.66,0.21,0.84,7.68,17.00,MISS,0.92
582.25,1.99,-3.59,0.73,-0.47,0.79,7.15,3.00,MISS,0.57
440.51,1.99,-2.98,0.66,0.84,0.69,7.42,17.00,MISS,-0.08
437.05,1.99,0.26,0.57,0.09,0.93,8.00,13.00,HIT,0.97
471.83,1.99,0.33,0.67,-0.88,0.88,7.99,27.00,HIT,0.84
565.38,1.99,5.90,0.24,-0.19,0.88,5.40,12.00,MISS,0.95
658.11,1.99,5.83,0.47,-0.42,0.87,5.47,26.00,MISS,0.78
736.18,1.99,3.72,0.59,0.38,0.76,7.08,3.00,BULLETHITBULLET,0.92
746.51,1.99,-0.90,0.72,0.64,0.57,7.95,17.00,MISS,-0.15
729.26,1.99,-0.90,0.78,0.88,0.29,7.95,31.00,MISS,-0.83
645.41,1.99,-0.12,0.14,0.79,0.93,5.64,5.00,HIT,0.98
613.98,1.99,1.88,0.46,0.13,0.92,7.78,3.00,MISS,0.69
659.39,1.99,2.46,0.68,-0.56,0.85,7.61,17.00,MISS,0.19
709.84,1.99,1.48,0.78,0.83,0.69,6.98,1.00,MISS,-0.37
680.20,1.99,0.84,0.43,0.43,0.93,7.96,9.00,MISS,0.84
708.02,1.99,0.98,0.55,-0.17,0.85,7.94,3.00,MISS,0.27
666.71,1.99,-0.11,0.73,0.60,0.84,8.00,20.00,MISS,-0.51
656.20,1.99,-0.22,0.66,0.52,0.90,7.62,7.00,MISS,1.00
667.69,1.99,1.70,0.70,-0.20,0.74,7.82,21.00,MISS,0.65
697.68,1.99,1.98,0.75,0.67,0.56,7.75,13.00,BULLETHITBULLET,-0.09
772.90,1.99,4.39,0.75,1.00,0.41,6.69,29.00,MISS,-0.99
774.96,1.99,-3.64,0.53,0.73,0.87,7.12,9.00,HIT,1.00
680.06,1.99,-3.49,0.69,-0.09,0.82,7.20,24.00,MISS,0.65
558.75,1.99,-2.37,0.71,-0.89,0.64,7.64,5.00,MISS,-0.23
573.64,1.99,-0.72,0.40,0.77,0.88,2.55,2.00,BULLETHITBULLET,0.89
568.97,1.99,-2.35,0.59,0.01,0.89,7.65,16.00,MISS,0.47
560.59,1.99,-2.38,0.71,0.70,0.77,7.64,30.00,MISS,-0.37
741.17,1.99,-1.07,0.30,0.31,0.92,6.52,6.00,MISS,0.90
736.91,1.99,1.47,0.41,-0.22,0.88,7.86,22.00,MISS,0.99
732.64,1.99,-0.96,0.62,-0.71,0.85,7.94,8.00,MISS,0.57
698.19,1.99,-1.08,0.78,0.61,0.72,6.83,2.00,MISS,-0.07
610.26,1.67,1.87,0.50,0.10,0.93,7.78,18.00,BULLETHITBULLET,0.91
645.04,1.99,-1.20,0.76,0.93,0.55,7.91,17.00,MISS,-0.94
696.53,0.97,2.43,0.67,0.34,0.78,2.21,1.00,BULLETHITBULLET,0.90
652.18,0.81,0.30,0.56,0.56,0.84,7.99,13.00,BULLETHITBULLET,0.92
665.64,1.40,6.08,0.64,-0.67,0.87,5.20,10.00,MISS,0.79
694.56,1.16,6.95,0.72,0.20,0.79,3.97,23.00,MISS,0.82
575.99,0.67,-3.09,0.61,0.79,0.95,7.38,10.00,MISS,0.92
