distance,myBulletPower,opponentAdvancingVelocity,opponentBackwardWall,opponentCurrentGuessFactor,opponentDistanceLast10,opponentForwardWall,opponentLateralVelocity,opponentTimeSinceLastDeceleration,type,guessFactor
499,1.99,-0.12,0.69,0.69,71.68,0.81,8,22,MISS,-0.95
523,1.99,-0.78,0.68,0.34,44,0.87,7.96,9,MISS,0.90
531,1.99,-0.95,0.69,-0.57,59.99,0.68,7.94,6,HIT,0.60
497,1.80,-5.53,0.68,0.76,70.84,0.36,5.79,20,MISS,-0.41
422,1.74,0,0.80,0.69,23.97,0.17,0,2,MISS,-0.49
451,1.99,0.44,0.46,-0.19,56.90,0.93,7.99,10,BULLETHITBULLET,0.64
467,1.80,0,0.84,-0.51,6.05,0.65,0,0,MISS,0.07
495,1.80,0,0.82,0.05,6,0.71,0,0,MISS,-0.14
519,0.93,0,0.84,0.05,0,0.77,0,14,MISS,-0.24
501,0.88,-0.09,0.72,0,3.37,0.87,2,1,MISS,0.63
520,0.83,-0.38,0.75,-0.21,11.50,0.91,3.98,4,MISS,0.62
498,0.79,-0.39,0.65,0.56,66,0.95,8,10,MISS,0.22
500,0.75,-0.11,0.70,0.53,20.98,0.90,5,4,MISS,-0.39
517,0.71,-0.16,0.79,0.03,14,0.85,1.74,2,MISS,-0.00
525,0.68,0.23,0.81,0.41,59.65,0.86,1.99,0,MISS,-0.66
525,0.65,-0.79,0.65,0.11,57,0.92,7.96,11,MISS,0.19
525,0.62,0,0.77,-0.61,35.98,0.84,0,2,MISS,0.20
530,0.59,-0.48,0.73,0.24,14.02,0.92,3.97,3,MISS,0.48
540,0.57,-0.55,0.75,0.17,16,0.92,4.97,5,MISS,0.53
545,0.64,-1.06,0.67,0.41,56.94,0.95,7.93,9,MISS,0.13
531,0.81,-0.37,0.81,0.47,14,0.84,2.98,2,MISS,-0.21
500,1,-0.11,0.78,0.21,1.54,0.90,3,6,MISS,0.54
482,0.18,0.02,0.71,-0.15,16.97,0.91,4,4,MISS,0.55
481,0.18,-0.05,0.54,0.50,61.97,0.94,8,9,MISS,0.11
477,0.18,-0.04,0.77,0.51,14,0.85,3,2,MISS,-0.15
479,0.17,-0.06,0.72,0.13,9,0.92,4,7,HIT,0.50
491,0.17,-0.17,0.73,-0.13,18,0.95,5,5,MISS,0.66
493,0.17,-0.14,0.61,0.48,65.96,0.92,8,10,HIT,0.10
492,0.17,-0.06,0.78,0.62,33.99,0.85,3,3,HIT,-0.16
496,0.17,-0.17,0.70,0.13,31.50,0.94,5.50,2,MISS,-0.37
494,0.23,-0.06,0.77,-0.22,6,0.90,3,8,MISS,-0.77
500,0.48,-0.36,0.61,-0.13,36,0.85,8,8,MISS,0.79
495,0.70,-1.64,0.73,-0.69,59.38,0.63,4.72,1,MISS,0.89
436,0.93,-6.25,0.63,0.47,68.57,0.47,5,10,BULLETHITBULLET,0.06
353,0.84,1.16,0.28,0,33.25,0.84,1.63,2,HIT,0.17
310,1.99,0,0.78,0.03,0,0.25,0,9,MISS,-0.69
344,0.81,1.70,0.30,-0.16,27,0.92,5.75,5,MISS,0.66
374,0.74,1.96,0.50,0.60,71.58,0.95,7.76,17,MISS,-0.57
378,0.68,0.70,0.75,0.02,8.99,0.79,2.92,4,MISS,0.72
399,0.62,-1.74,0.65,0.53,58.69,0.73,5.74,2,MISS,0.76
401,0.57,-3.08,0.53,0.48,53.90,0.85,7.39,7,MISS,0.85
409,0.32,-1.16,0.62,0.44,47.92,0.91,5.89,3,MISS,0.63
405,0.29,0.90,0.53,-0.34,41.99,0.95,5.93,0,MISS,0.12
424,0.28,0.39,0.76,0.33,38.96,0.91,2.98,1,BULLETHITBULLET,-0.15
429,0.26,-0.13,0.78,-0.30,40.50,0.77,1.49,0,MISS,0.30
438,0.25,-0.20,0.75,-0.18,23,0.85,1.86,2,MISS,0.67
451,0.24,0.05,0.77,0.48,58.73,0.73,2,0,MISS,0.43
447,0.23,-0.66,0.81,0.22,26.89,0.54,0.75,1,MISS,0.17
426,0.22,-2.28,0.76,0.25,32.94,0.48,1.96,0,MISS,-0.66
407,0.21,0.44,0.40,-0.06,8.72,0.91,2.97,3,MISS,1.00
438,0.21,0.68,0.56,-0.61,68.99,0.94,7.97,14,MISS,0.84
460,0.20,0.35,0.56,0.97,71.99,0.94,8,25,HIT,0.56
472,0.19,0.07,0.77,0.36,37,0.91,3,2,MISS,0.64
485,0.16,-0.07,0.68,0.37,51.95,0.89,3,1,MISS,0.69
469,0.12,0.09,0.69,0.34,35.99,0.92,5,3,HIT,0.50
495,0.12,-0.05,0.79,0.40,29.92,0.92,3,3,MISS,0.66
511,0.12,-0.39,0.62,0.41,68.76,0.97,8,14,MISS,0.25
513,0.12,-0.17,0.80,0.66,23,0.90,2,4,MISS,-0.37
482,0.12,0,0.81,0.23,0,0.81,0,8,MISS,0.46
441,0.11,0.78,0.56,-0.23,43.97,0.95,7.96,9,BULLETHITBULLET,0.56
448,0.11,0.16,0.75,0.45,17.03,0.86,2,4,MISS,-0.71
472,0.11,0.04,0.73,-0.11,15,0.96,5,8,MISS,0.75
471,0.11,0.04,0.75,0.49,39.95,0.88,3,2,HIT,0.64
490,0.10,-0.12,0.76,0.33,48,0.87,2,0,MISS,0.16
477,0.10,-2.33,0.60,0.67,56.93,0.90,7.65,11,MISS,-1.00
469,0.10,0.17,0.57,0.89,72,0.94,8,30,BULLETHITBULLET,0.56
473,0.10,0.12,0.56,0.20,36,0.97,8,8,MISS,1.00
487,0.10,-0.21,0.59,-0.94,72,0.94,8,19,MISS,1.00
475,0.10,0.18,0.60,0.88,68.87,0.97,8,6,MISS,0.95
504,0.10,-1.41,0.61,0.49,71.32,0.65,7.88,29,BULLETHITBULLET,0.56
487,0.10,0.09,0.59,0.50,71.84,0.88,8,18,MISS,0.89
478,0.10,-0.01,0.38,-0.16,26.21,0.96,7,7,MISS,1.00
493,0.10,-0.22,0.57,-0.93,72,0.97,8,18,MISS,0.76
495,0.10,-0.11,0.62,0.90,71.92,0.97,8,29,MISS,0.32
507,0.10,0,0.81,0.32,9,0.81,0,3,MISS,0.00
515,0.10,0,0.83,0,0,0.83,0,14,MISS,-0.00
537,0.10,0,0.84,0,0,0.80,0,25,MISS,-0.00
558,0.10,0,0.84,0,0,0.80,0,36,MISS,-0.00
575,0.10,0,0.85,0,0,0.81,0,47,HIT,0.00
354,1.99,2.23,0.59,0,71.97,0.92,7.68,25,HIT,-0.99
386,1.99,0.63,0.61,-0.18,43.93,0.91,7.98,9,MISS,1.00
401,1.99,-2.71,0.63,0.57,71.88,0.85,7.53,24,MISS,0.27
394,1.99,0.16,0.82,0.55,43,0.85,0.99,1,MISS,1.00
429,1.99,0.95,0.64,0.41,67.97,0.92,7.94,3,BULLETHITBULLET,0.64
479,1.99,0.06,0.69,0.72,62.81,0.92,5,1,MISS,0.71
490,1.99,-0.19,0.66,0.37,71.95,0.91,8,12,MISS,0.31
496,1.99,0,0.83,0.69,43.98,0.80,0,1,HIT,0.18
524,1.99,0,0.81,0.32,0,0.78,0,8,MISS,-0.26
537,1.99,-0.52,0.75,0.10,23.09,0.82,3.97,0,MISS,-0.87
545,1.99,-1.06,0.69,0,31.02,0.82,7.42,7,MISS,0.89
551,1.99,-1.25,0.72,-0.56,72,0.61,7.90,21,MISS,0.43
498,1.99,-4.43,0.77,0.84,62.07,0.26,2.32,1,MISS,-0.60
462,1.99,0.13,0.22,0.49,21.60,0.92,4.50,2,HIT,0.69
487,1.99,-0.17,0.55,-0.41,64,0.92,8,11,MISS,0.93
492,1.99,-0.29,0.67,0.65,44,0.90,8,9,BULLETHITBULLET,0.64
488,1.99,-0.09,0.67,0.72,72,0.72,8,23,MISS,0.94
460,1.99,-4.57,0.67,0.49,67.61,0.60,6.57,5,MISS,0.34
354,1.99,0.50,0.39,-0.23,35.98,0.83,1.94,1,MISS,0.79
391,1.99,0.33,0.62,0.31,30,0.84,1.97,2,MISS,0.41
424,1.99,0.95,0.65,0.76,71.91,0.93,7.94,17,MISS,-0.81
424,1.99,0.48,0.73,-0.18,41.98,0.81,4.98,2,MISS,0.94
397,1.99,-0.72,0.74,0.56,65.40,0.60,3.93,0,HIT,0.67
303,1.99,-6.12,0.60,0.54,59.80,0.39,3.40,3,MISS,0.79
191,1.99,0.31,0.31,0,27.46,0.67,0.39,0,MISS,0.85
262,1.99,3.75,0.29,0.60,61.88,0.88,7.07,12,BULLETHITBULLET,0.88
325,1.99,2.70,0.47,0,50.99,0.90,7.53,8,BULLETHITBULLET,0.92
312,1.98,0,0.78,0,26.98,0.58,0,0,MISS,-0.57
361,1.66,0.13,0.79,0.06,0.59,0.81,1.49,1,BULLETHITBULLET,0.18
356,1.82,2.05,0.58,-0.50,68.98,0.92,7.73,14,MISS,-0.52
351,1.53,-1.12,0.68,0,64.66,0.66,3.84,0,MISS,-0.66
378,1.18,1.11,0.71,0.04,12.16,0.84,4.87,5,BULLETHITBULLET,0.48
362,1.40,2,0.54,-0.49,61.93,0.95,7.75,12,MISS,-0.51
363,1.08,0.55,0.55,0,32.84,0.85,1.92,2,MISS,-0.87
312,0.99,-6.54,0.50,-0.44,53.85,0.47,4.60,10,HIT,0.73
327,1.99,2.65,0.56,0,71.96,0.90,7.55,30,MISS,-0.56
359,1.99,1.48,0.65,0,20.88,0.91,5.82,9,MISS,-0.11
393,1.99,0.17,0.77,0.32,30,0.86,1.49,1,MISS,0.83
438,1.99,0.37,0.76,0.61,65.67,0.84,3.98,0,MISS,0.15
459,1.99,-1.90,0.70,0.32,41.79,0.70,6.74,5,MISS,-0.79
471,1.99,0.33,0.59,-0.25,61.81,0.91,8,12,MISS,1.00
470,1.99,0.08,0.67,0.45,69,0.89,8,3,MISS,0.98
459,1.99,0.29,0.66,0.85,72,0.70,8,17,MISS,0.97
422,1.99,-4.95,0.64,0.84,70.84,0.61,6.28,31,BULLETHITBULLET,0.22
423,1.74,0.23,0.73,-0.31,50,0.86,1.99,0,HIT,0.76
454,1.60,-0.17,0.74,0.38,56.98,0.90,4,0,MISS,0.27
452,1.47,0.36,0.66,0.74,66,0.95,8,12,BULLETHITBULLET,0.91
433,1.78,0.50,0.74,0.33,26.98,0.91,4.98,2,MISS,-0.49
462,1.63,0.34,0.73,0.08,9.06,0.92,5.49,5,MISS,0.94
501,1.50,-0.15,0.68,0.60,71.70,0.94,8,23,MISS,0.97
498,0.76,-0.23,0.65,0.41,71.96,0.87,8,36,MISS,0.81
479,0.73,-1.39,0.61,0.79,71.79,0.63,7.88,48,MISS,0.33
470,0.69,0.53,0.41,0.44,15.39,0.89,1.93,2,MISS,-0.66
472,0.66,-4.08,0.70,0,17.45,0.60,4.40,6,MISS,0.14
428,0.63,0.59,0.30,0.51,33.59,0.86,1.91,2,MISS,1.00
421,0.60,1.13,0.51,0.57,71.80,0.96,7.92,16,MISS,1.00
433,0.55,0.69,0.57,1,71.99,0.94,7.97,40,BULLETHITBULLET,0.94
431,0.58,0.85,0.57,0.51,71.93,0.94,7.95,28,HIT,0.96
440,0.60,0.86,0.60,0,71.90,0.96,7.95,11,MISS,-0.94
446,0.58,0.46,0.59,-0.12,36,0.95,7.99,8,MISS,1.00
440,0.55,0.81,0.60,-0.83,71.96,0.96,7.96,20,MISS,0.66
468,0.53,0.37,0.61,0.95,70.73,0.95,8,9,MISS,0.25
478,0.51,0,0.80,0.18,7,0.80,0,0,MISS,-0.36
510,0.47,-0.32,0.63,0.50,71.27,0.95,8,15,BULLETHITBULLET,0.17
498,0.49,-0.08,0.78,0.09,14,0.85,1.50,1,MISS,1.00
509,0.46,-0.46,0.64,0.96,71.81,0.94,7.99,26,MISS,-0.84
491,0.44,-0.05,0.62,-0.11,35.97,0.95,8,8,MISS,1.00
480,0.43,0.04,0.60,-0.72,71.84,0.94,8,19,MISS,1.00
495,0.41,-0.31,0.62,0.86,72,0.85,8,30,MISS,0.86
466,0.40,-2.39,0.59,0.87,71.65,0.56,7.63,41,MISS,0.57
395,0.49,-1.65,0.70,0.82,53.21,0.16,1.12,0,HIT,-0.45
394,0.66,0,0.77,0.16,9,0.20,0,5,MISS,-0.73
442,1.80,0.27,0.43,-0.40,53.66,0.91,4,0,MISS,-0.17
479,1.80,0.03,0.79,0.22,29.99,0.71,2,2,MISS,0.93
458,1.69,-3.86,0.65,0.55,71.49,0.72,7,18,MISS,0.02
368,1.45,1.26,0.35,0.30,8.57,0.91,4.84,5,BULLETHITBULLET,0.64
365,1.26,-2.17,0.71,0,17.73,0.55,2.74,0,MISS,-1.00
391,1.11,1.45,0.52,-0.48,62.99,0.94,7.87,12,MISS,0.75
414,0.98,0.30,0.77,0.58,38.84,0.87,1.98,2,MISS,-0.36
443,0.88,0.22,0.77,0.19,15.19,0.89,3,3,MISS,0.32
440,0.80,0.89,0.62,0.49,71.76,0.86,7.95,16,MISS,-0.95
443,0.10,0.72,0.56,0.37,35.98,0.95,7.97,8,HIT,0.93
440,0.10,0.58,0.56,-0.77,66,0.95,7.98,9,MISS,0.84
450,0.11,0.71,0.55,0.92,68.89,0.88,7.97,8,HIT,0.82
475,0.18,-0.15,0.71,0.35,41.83,0.86,5,1,MISS,1.00
474,0.31,-1.45,0.58,0.63,71.81,0.91,7.87,15,MISS,0.08
476,0.29,0.02,0.58,0.17,51,0.93,8,10,MISS,0.36
481,0.27,0,0.79,-0.72,36,0.92,3,2,MISS,-0.29
492,0.26,-0.10,0.75,0.34,1.22,0.91,3.50,3,MISS,-0.70
488,0.25,0.03,0.62,-0.14,33.47,0.95,7.75,8,MISS,0.24
488,0.24,-0.11,0.68,-0.66,51.91,0.90,6,2,MISS,-0.83
502,0.10,0.14,0.78,0.27,26.99,0.88,2,0,MISS,1.00
511,0.10,-0.43,0.60,-0.66,65.87,0.97,7.99,11,MISS,1.00
481,0.12,-0.14,0.59,0.97,72,0.95,8,24,MISS,1.00
463,0.12,0.51,0.58,0.89,71.79,0.95,7.98,46,BULLETHITBULLET,0.83
448,0.12,0.49,0.55,0.91,72,0.94,7.98,35,MISS,1.00
487,0.12,0.07,0.59,1,71.69,0.93,8,57,MISS,-0.98
508,0.10,-0.41,0.67,0,15.02,0.94,5.99,6,MISS,0.78
507,0.10,-0.19,0.77,0.18,23.90,0.89,3,2,BULLETHITBULLET,0.63
516,0.10,-0.43,0.63,0.60,71.78,0.96,7.99,21,MISS,0.33
521,0.10,0,0.82,0.28,12,0.83,0,0,MISS,0.60
527,0.10,-0.52,0.71,0.02,6.76,0.93,4.97,5,MISS,0.32
517,0.10,-0.63,0.62,0.49,72,0.96,7.98,16,MISS,-0.80
529,0.10,-0.58,0.72,0.46,6.12,0.93,4.97,5,BULLETHITBULLET,0.50
521,0.10,-0.80,0.62,-0.63,72,0.85,7.96,17,MISS,-0.32
494,0.10,-0.05,0.58,0.29,30.03,0.89,2,2,MISS,1.00
495,0.10,-0.29,0.58,-0.14,65.97,0.96,8,13,HIT,0.96
511,0.10,-0.59,0.60,0.87,72,0.93,7.98,24,MISS,0.78
522,0.10,-0.77,0.62,0.87,72,0.85,7.96,35,MISS,0.34
515,0.10,-1.11,0.78,0.69,33.87,0.70,2.79,3,BULLETHITBULLET,-0.15
504,0.10,0,0.81,0.36,6,0.62,0,6,MISS,-0.64
503,0.10,-0.39,0.60,-0.30,50.79,0.95,8,17,MISS,0.06
502,0.10,0,0.82,-0.60,27.99,0.81,0,3,MISS,0.56
496,0.10,-0.26,0.69,0.17,20.54,0.90,6.49,6,MISS,0.18
455,0.10,0.14,0.71,0.46,44.98,0.79,5,1,MISS,-0.71
443,0.10,0.40,0.60,0.33,9.19,0.94,5.49,5,MISS,1.00
465,0.10,0.19,0.58,-0.60,68.99,0.95,8,7,HIT,0.88
466,0.10,0.15,0.57,0.92,69,0.94,8,8,MISS,0.18
456,0.10,0,0.77,0.74,41,0.82,0,1,MISS,0.60
454,0.10,0.33,0.70,0.21,24.98,0.94,4.49,1,MISS,0.94
465,0.10,0.16,0.65,0.45,60.88,0.94,6,2,MISS,1.00
446,0.10,0.52,0.56,0.47,72,0.94,7.98,13,HIT,0.83
454,0.10,-0.26,0.59,0.91,71.64,0.88,8,10,MISS,-0.01
465,0.10,0,0.80,0.26,27.97,0.76,0,3,MISS,-0.59
477,0.10,0,0.74,-0.01,42,0.89,2,0,MISS,0.07
477,0.10,-0.04,0.78,-0.59,45,0.89,2,0,MISS,-0.64
476,0.10,0,0.82,0.34,34.95,0.78,0,1,BULLETHITBULLET,0.59
472,0.10,0,0.70,-0.26,39,0.90,4,1,MISS,0.09
479,0.10,0.20,0.72,0,42,0.94,5,3,MISS,-0.89
478,0.10,0.09,0.65,-0.11,26,0.96,7,7,MISS,0.75
482,0.10,0.16,0.59,-0.78,71.73,0.95,8,19,MISS,0.30
485,0.10,0,0.81,0.25,9,0.81,0,2,MISS,-0.28
494,0.10,-0.09,0.71,0.07,12.09,0.91,5.50,5,MISS,-0.91
497,0.10,-0.10,0.61,-0.13,37.97,0.96,8,8,MISS,0.73
517,0.10,-0.12,0.68,-0.86,68.81,0.96,7,1,MISS,0.04
490,0.10,-0.03,0.78,0.26,29,0.85,1.50,1,MISS,0.94
470,0.10,0.25,0.57,0.48,71.90,0.93,8,15,BULLETHITBULLET,0.82
467,0.10,0.40,0.57,0.43,57.85,0.94,8,4,HIT,0.95
344,1.99,0.59,0.75,0,33.34,0.85,1.91,2,MISS,-0.96
386,1.99,1.77,0.61,-0.38,59.19,0.91,7.80,11,MISS,0.29
417,1.99,0.47,0.73,0.46,62.95,0.80,3.97,0,MISS,-0.77
453,1.99,0.69,0.64,0.31,35.92,0.93,7.97,12,MISS,0.11
449,1.99,0.25,0.72,0.47,65.81,0.92,4,0,MISS,-0.79
467,1.99,-0.17,0.68,0.21,61.80,0.87,8,12,MISS,0.00
495,1.99,-0.06,0.77,-0.77,44.88,0.71,5,1,MISS,-0.78
514,1.99,-0.58,0.66,0.17,51,0.89,7.98,10,MISS,0.30
534,1.26,-0.64,0.74,0.45,9.27,0.92,5.46,5,MISS,-0.64
526,0.55,-5.33,0.59,0.81,71.68,0.60,5.96,30,BULLETHITBULLET,0.95
542,1.17,-0.72,0.75,0.11,3.94,0.88,4.95,5,MISS,1.00
551,0.57,-1.26,0.67,-0.37,72,0.75,7.90,18,MISS,0.92
470,0.53,0.60,0.43,0,21.38,0.87,1.91,2,MISS,-0.87
429,0.51,-6.66,0.57,-0.31,47.40,0.49,4.43,9,MISS,0.30
396,0.20,0.83,0.44,0.34,8.38,0.93,4.93,5,MISS,-1.00
377,0.20,-4.59,0.40,-0.46,47.49,0.77,6.55,9,BULLETHITBULLET,0.06
320,1.99,0.66,0.52,0.41,33.04,0.83,1.89,2,MISS,-0.91
292,1.99,-3.22,0.50,-0.66,67.50,0.78,7.32,13,BULLETHITBULLET,0.86
279,1.99,3.62,0.36,0,56.86,0.89,7.14,11,MISS,-0.98
287,1.99,-2.77,0.51,-0.34,44,0.79,7.50,9,MISS,0.23
320,1.99,0,0.66,0.32,5,0.76,0,0,MISS,0.84
360,1.99,2.14,0.54,0,56.99,0.90,7.71,11,BULLETHITBULLET,0.98
422,1.99,0.94,0.58,-0.25,51,0.94,7.94,10,MISS,0.75
442,1.99,0.58,0.66,-0.89,72,0.92,7.98,24,HIT,0.29
463,1.99,0.36,0.73,0.73,17.98,0.93,5.99,6,MISS,-0.78
471,1.99,0.23,0.71,-0.13,32.99,0.92,7,6,MISS,0.75
467,1.99,0.26,0.68,-0.67,71.78,0.85,8,20,MISS,0.06
461,1.99,0.15,0.71,0.67,26.98,0.74,6,6,MISS,-0.76
463,1.99,0.44,0.61,0.20,35.95,0.94,7.99,8,MISS,0.40
454,1.99,0.33,0.67,-0.59,66,0.93,8,9,MISS,-0.34
443,1.99,0.77,0.65,-0.21,43.98,0.85,7.96,9,MISS,-0.74
459,1.99,0.36,0.70,0.07,26,0.92,7,7,MISS,0.77
462,1.99,0.23,0.65,-0.50,71.97,0.94,8,21,MISS,0.06
478,1.99,0.05,0.69,0,65,0.92,8,13,MISS,-1.00
473,1.99,0.01,0.67,-0.12,44,0.92,8,9,MISS,0.82
461,1.99,0.23,0.66,-0.65,72,0.88,8,23,MISS,0.40
472,1.99,0.03,0.81,0.74,44.92,0.75,1,1,BULLETHITBULLET,0.17
466,1.80,0.09,0.67,0.45,9,0.90,3,3,MISS,-0.71
443,1.80,-1.73,0.65,-0.16,44.59,0.70,7.81,9,MISS,0.32
422,1.80,-0.91,0.76,0.58,65.89,0.77,3.90,0,HIT,-0.74
453,1.80,0.41,0.65,-0.38,30,0.93,6.99,7,MISS,-0.23
490,1.99,-0.09,0.67,0.04,61.79,0.94,8,12,MISS,-0.57
498,1.99,-0.30,0.69,0.09,36,0.87,8,8,MISS,0.31
503,1.99,-0.23,0.68,-0.53,71.77,0.90,8,24,MISS,-0.70
527,1.80,-0.76,0.64,-0.46,50.91,0.94,7.96,9,MISS,-0.46
523,1.80,-0.51,0.73,0.16,15.01,0.89,5.98,6,MISS,0.27
490,0.23,-0.05,0.61,-0.38,71.84,0.95,8,21,MISS,-0.66
487,0.23,0.08,0.62,0.44,35.97,0.96,8,8,MISS,0.37
518,0.42,-0.17,0.79,0.49,11.95,0.86,2,2,MISS,-0.59
519,0.37,-0.37,0.74,0.04,3.73,0.94,4.99,5,MISS,1.00
520,0.94,-0.74,0.67,0.62,68.97,0.87,7.97,3,MISS,-0.01
480,1.08,-0.02,0.59,0.33,15,0.93,6,6,MISS,-0.15
524,0.10,-0.27,0.68,0.49,69.67,0.70,6,0,BULLETHITBULLET,0.02
