distance,myBulletPower,opponentAdvancingVelocity,opponentBackwardWall,opponentCurrentGuessFactor,opponentForwardWall,opponentLateralVelocity,opponentTimeSinceLastDeceleration,type,guessFactor
432.77,1.99,2.96,0.78,0.11,0.74,0.49,6.00,MISS,-0.15
522.19,1.99,4.14,0.70,0.35,0.90,6.85,20.00,MISS,-0.20
504.84,1.99,0.00,0.85,-0.41,0.85,-0.00,2.00,MISS,0.43
535.80,1.99,6.91,0.72,-0.01,0.84,4.04,16.00,MISS,0.49
651.35,1.99,2.73,0.82,-0.20,0.63,1.24,0.00,MISS,0.62
625.57,0.10,-7.21,0.70,0.39,0.69,3.47,12.00,MISS,0.67
539.03,1.99,-4.63,0.72,0.44,0.63,6.52,23.00,MISS,-0.23
484.93,1.69,-0.00,0.83,0.64,0.49,0.00,4.00,MISS,-0.71
473.71,1.64,-6.26,0.59,-0.13,0.90,4.98,18.00,HIT,0.50
416.88,1.72,-0.92,0.80,0.25,0.83,0.40,0.00,HIT,0.52
447.81,1.74,2.48,0.65,0.42,0.92,7.61,14.00,BULLETHITBULLET,0.37
465.70,1.24,0.12,0.78,0.56,0.87,2.00,2.00,MISS,0.37
489.91,1.99,7.92,0.69,0.24,0.79,1.11,15.00,MISS,0.49
585.59,1.99,-0.00,0.74,0.34,0.75,-0.00,0.00,MISS,0.64
572.92,1.99,-5.77,0.73,0.15,0.84,5.54,14.00,MISS,0.29
550.11,1.99,-2.74,0.72,0.55,0.79,7.52,28.00,MISS,-0.32
517.23,1.99,-1.01,0.54,0.41,0.91,4.90,8.00,HIT,0.52
427.36,1.99,-4.69,0.54,-0.26,0.90,6.48,22.00,MISS,0.38
552.32,1.99,5.71,0.66,0.31,0.88,5.60,19.00,MISS,-0.41
593.01,1.99,0.41,0.77,-0.27,0.83,5.99,6.00,MISS,0.56
660.02,1.99,6.45,0.76,-0.29,0.60,4.73,20.00,MISS,0.66
650.22,1.99,-2.89,0.49,-0.40,0.84,0.82,6.00,MISS,-0.29
521.89,1.99,-6.14,0.72,0.54,0.50,5.13,20.00,MISS,-0.35
437.11,1.96,1.28,0.26,-0.59,0.88,2.15,2.00,MISS,0.72
397.74,0.40,-0.65,0.46,-0.28,0.96,7.97,17.00,MISS,0.23
399.01,0.40,1.60,0.75,0.73,0.80,2.53,3.00,MISS,0.17
469.19,0.34,7.91,0.61,0.23,0.79,1.22,14.00,MISS,-0.20
564.06,0.34,0.98,0.76,0.17,0.79,0.19,0.00,MISS,-0.89
552.46,0.34,-2.12,0.73,-0.00,0.83,5.61,10.00,MISS,0.68
589.53,0.34,4.88,0.69,-0.55,0.64,6.34,21.00,MISS,0.48
657.48,0.34,0.77,0.85,0.71,0.49,0.64,0.00,MISS,0.84
639.48,0.34,-7.05,0.71,0.32,0.77,3.77,11.00,HIT,0.46
549.44,0.34,-0.21,0.78,0.60,0.91,2.99,0.00,MISS,-0.30
518.63,0.34,-4.75,0.71,-0.09,0.91,3.67,9.00,MISS,0.09
421.99,0.28,-7.80,0.57,-0.29,0.75,1.78,20.00,MISS,-0.21
359.42,0.32,-0.87,0.75,0.14,0.79,0.49,0.00,MISS,-0.99
379.84,0.28,-2.97,0.49,-0.52,0.93,7.43,11.00,BULLETHITBULLET,0.33
355.11,0.28,-4.74,0.48,0.00,0.86,6.44,22.00,MISS,0.37
365.01,0.28,6.51,0.52,0.20,0.85,4.66,10.00,MISS,0.47
389.49,0.25,5.68,0.53,0.42,0.79,5.63,21.00,MISS,-0.63
437.83,0.24,-1.29,0.65,0.53,0.90,3.26,3.00,MISS,0.76
472.63,0.22,4.07,0.59,-0.49,0.92,6.88,14.00,HIT,0.42
517.52,0.19,2.98,0.68,0.75,0.93,5.21,0.00,MISS,0.16
480.70,0.18,-7.90,0.61,0.38,0.77,1.27,9.00,BULLETHITBULLET,0.64
389.90,0.17,-7.97,0.53,0.00,0.67,0.67,23.00,MISS,-0.96
415.24,0.17,4.54,0.64,-0.18,0.88,4.65,6.00,MISS,0.80
492.06,0.14,4.23,0.62,0.52,0.92,6.79,18.00,MISS,-0.31
550.36,0.14,-0.47,0.84,0.83,0.84,0.88,1.00,HIT,0.63
580.32,0.14,4.54,0.65,-0.03,0.79,6.59,12.00,HIT,0.36
625.93,0.14,5.06,0.70,0.55,0.51,6.20,23.00,HIT,0.42
619.43,0.14,-2.61,0.36,0.38,0.88,1.48,5.00,MISS,-0.86
534.04,0.14,-7.63,0.67,0.28,0.39,2.39,16.00,MISS,-0.05
415.62,0.40,-6.54,0.65,-0.79,0.24,2.50,0.00,MISS,-1.00
419.25,0.37,1.21,0.20,0.13,0.96,7.40,7.00,MISS,0.84
421.45,0.35,-2.67,0.50,-0.94,0.96,7.54,18.00,HIT,0.35
608.79,1.99,0.26,0.74,0.00,0.85,8.00,25.00,MISS,-0.00
586.74,1.99,0.00,0.84,0.25,0.80,0.00,5.00,MISS,0.33
606.26,1.99,0.42,0.72,0.21,0.93,4.98,20.00,HIT,0.51
685.32,1.99,-0.00,0.60,-0.00,0.80,-0.00,2.00,MISS,0.42
622.69,1.99,-4.31,0.50,0.24,0.94,6.74,17.00,MISS,0.24
595.24,1.99,1.01,0.57,0.47,0.92,4.90,0.00,MISS,-0.02
559.65,1.99,-7.89,0.73,0.29,0.53,1.33,11.00,MISS,-0.03
457.35,1.99,-6.34,0.60,-0.05,0.89,4.88,25.00,MISS,-0.63
423.98,1.99,0.98,0.74,-0.14,0.67,4.90,8.00,MISS,0.95
434.55,1.99,-0.09,0.67,0.76,0.55,8.00,25.00,MISS,-0.02
470.34,1.99,1.37,0.56,0.16,0.90,3.76,7.00,MISS,0.39
582.15,1.99,7.47,0.54,-0.03,0.83,2.85,21.00,MISS,0.57
648.30,1.99,-0.00,0.68,-0.02,0.76,-0.00,4.00,HIT,0.40
559.24,1.99,-5.56,0.70,0.23,0.90,5.75,18.00,MISS,0.08
492.87,1.99,-0.00,0.84,0.51,0.82,0.00,0.00,MISS,-0.52
498.90,1.99,-5.64,0.70,0.17,0.91,5.68,14.00,MISS,0.40
425.74,1.99,-7.89,0.66,-0.49,0.77,1.32,28.00,MISS,0.73
437.92,1.99,2.72,0.66,0.35,0.77,7.52,9.00,MISS,0.34
419.65,1.99,-0.08,0.63,0.65,0.52,8.00,23.00,HIT,-0.04
436.91,1.99,7.95,0.19,0.44,0.77,0.92,10.00,MISS,0.48
527.02,1.99,7.62,0.70,-0.08,0.08,2.45,24.00,MISS,-0.66
529.18,1.99,-0.52,0.18,0.07,0.92,7.98,10.00,HIT,0.37
578.39,1.99,2.60,0.50,-0.63,0.92,7.57,24.00,MISS,0.10
593.66,1.99,-3.90,0.80,0.36,0.67,3.13,9.00,MISS,0.04
508.99,1.99,-7.96,0.73,0.07,0.77,0.82,24.00,MISS,0.66
464.49,1.99,0.99,0.81,0.01,0.78,0.17,5.00,MISS,-0.37
531.50,1.99,0.00,0.83,-0.51,0.83,-0.00,2.00,MISS,0.53
517.84,1.99,0.86,0.71,0.04,0.88,7.95,16.00,MISS,0.42
561.37,1.99,1.19,0.80,0.53,0.65,2.76,0.00,MISS,0.17
532.92,1.99,-7.64,0.64,0.35,0.83,2.36,13.00,MISS,0.21
396.25,1.99,1.93,0.58,0.10,0.92,7.76,8.00,BULLETHITBULLET,0.36
404.84,1.99,-8.00,0.65,0.13,0.62,0.17,27.00,MISS,-0.98
370.83,1.99,-1.51,0.60,-0.84,0.92,7.86,22.00,MISS,0.07
357.22,1.99,1.39,0.76,0.12,0.84,1.44,8.00,MISS,-0.08
558.17,1.99,0.00,0.84,-0.15,0.84,-0.00,2.00,MISS,0.50
623.79,1.99,7.09,0.60,-0.16,0.86,3.70,19.00,HIT,0.47
667.06,1.99,-0.00,0.52,0.43,0.82,-0.00,0.00,HIT,0.41
349.10,1.99,-6.28,0.64,0.00,0.83,3.09,12.00,MISS,-0.03
287.79,1.99,-6.81,0.54,0.00,0.84,4.19,26.00,MISS,-0.34
306.45,1.99,-0.56,0.64,0.06,0.89,4.97,6.00,MISS,0.82
282.98,1.99,-6.80,0.50,0.61,0.81,4.21,20.00,HIT,0.36
373.99,1.99,2.18,0.58,-0.37,0.73,7.70,18.00,BULLETHITBULLET,-0.05
285.99,1.99,-0.00,0.72,0.25,0.73,-0.00,4.00,MISS,-0.87
380.31,1.99,0.11,0.80,-0.87,0.20,0.99,0.00,BULLETHITBULLET,0.50
388.12,1.99,7.88,0.09,-0.18,0.77,1.40,13.00,MISS,0.25
463.01,1.99,7.78,0.70,-0.61,0.02,1.88,27.00,MISS,-0.79
488.94,1.99,-3.83,0.15,0.01,0.92,5.86,11.00,MISS,0.49
503.54,1.99,0.37,0.51,-0.63,0.91,7.99,25.00,HIT,-0.06
517.71,1.99,-4.89,0.75,0.50,0.77,4.28,6.00,MISS,0.26
446.68,1.99,-7.24,0.68,0.15,0.84,3.41,20.00,MISS,0.61
425.45,1.99,5.82,0.71,0.12,0.80,1.44,6.00,MISS,0.15
547.88,1.99,-0.00,0.72,0.39,0.82,0.00,5.00,MISS,0.57
534.73,1.99,0.27,0.71,-0.25,0.86,8.00,19.00,MISS,0.29
563.69,1.99,0.00,0.85,0.61,0.67,0.00,0.00,MISS,-0.10
381.86,1.99,-2.89,0.71,0.11,0.79,0.80,0.00,BULLETHITBULLET,0.38
508.37,1.99,-7.25,0.62,0.26,0.85,3.38,15.00,HIT,0.53
394.18,1.99,0.21,0.78,0.41,0.87,1.99,0.00,MISS,-0.22
445.67,1.99,7.88,0.70,0.23,0.79,1.37,13.00,MISS,-0.45
609.03,1.99,5.87,0.67,-0.31,0.87,5.44,19.00,HIT,0.46
665.52,1.99,0.00,0.60,-0.59,0.86,0.00,1.00,HIT,0.40
565.35,1.99,-4.11,0.49,0.22,0.92,6.86,15.00,MISS,0.18
523.86,1.99,-0.00,0.64,0.43,0.84,-0.00,1.00,MISS,-0.06
465.58,1.41,-7.95,0.58,0.21,0.78,0.91,15.00,MISS,0.06
355.11,1.34,-3.74,0.63,0.24,0.89,3.32,0.00,MISS,-0.97
350.64,1.19,-1.41,0.54,-0.64,0.65,7.87,13.00,MISS,0.72
454.52,1.07,6.59,0.43,-0.25,0.88,4.54,11.00,HIT,0.46
242.28,1.99,-7.29,0.43,0.00,0.74,3.30,30.00,HIT,0.49
186.41,1.99,-0.82,0.28,0.00,0.92,7.96,45.00,BULLETHITBULLET,0.06
302.46,1.99,5.07,0.44,0.00,0.59,6.19,59.00,MISS,0.38
444.07,1.99,7.24,0.01,0.64,0.27,3.41,73.00,MISS,-1.00
473.56,1.99,-2.85,0.75,-1.00,0.61,2.80,5.00,HIT,0.20
400.55,1.99,-7.90,0.66,0.08,0.73,1.24,20.00,MISS,0.49
384.83,1.99,0.96,0.77,0.06,0.77,0.29,4.00,MISS,-0.26
478.41,1.99,5.97,0.58,0.45,0.86,5.32,18.00,MISS,-0.18
535.70,1.99,-1.38,0.78,-0.43,0.67,4.81,8.00,BULLETHITBULLET,0.47
547.36,1.99,-2.50,0.42,-0.14,0.88,1.66,4.00,MISS,-0.46
467.24,1.99,-6.05,0.69,0.46,0.59,5.24,18.00,MISS,-0.28
452.42,1.99,0.06,0.60,0.29,0.89,2.50,2.00,MISS,0.60
415.90,1.99,-7.31,0.64,0.33,0.85,3.24,16.00,HIT,0.50
376.46,1.99,1.95,0.76,0.17,0.75,0.44,2.00,MISS,0.58
453.33,1.99,1.61,0.67,0.48,0.84,7.84,16.00,HIT,-0.04
494.60,1.99,0.29,0.61,0.74,0.87,1.47,1.00,HIT,0.39
634.87,1.99,-0.00,0.16,0.04,0.84,0.00,1.00,MISS,0.48
580.15,1.99,1.03,0.11,0.27,0.93,7.93,15.00,MISS,0.43
551.92,1.74,5.51,0.46,-0.50,0.88,5.80,29.00,MISS,0.37
422.77,1.74,-6.80,0.50,0.48,0.81,1.65,10.00,HIT,0.52
90.72,3.00,-3.53,0.02,0.00,0.12,7.18,26.00,HIT,1.00
173.10,1.99,-6.02,0.18,0.00,0.65,5.27,15.00,HIT,0.31
235.84,1.99,-4.86,0.45,0.00,0.82,3.52,8.00,BULLETHITBULLET,0.48
212.14,1.99,-7.37,0.36,0.00,0.71,3.10,22.00,HIT,0.38
280.45,1.99,1.44,0.67,0.00,0.86,2.63,6.00,BULLETHITBULLET,0.54
319.44,1.99,-4.32,0.55,0.68,0.92,6.73,20.00,HIT,0.34
323.91,1.99,-0.00,0.78,0.38,0.78,-0.00,2.00,MISS,-0.31
530.99,1.99,-0.03,0.77,-0.32,0.89,3.00,3.00,MISS,0.49
612.89,1.99,7.85,0.56,0.00,0.81,1.54,17.00,HIT,0.48
643.18,1.99,0.00,0.45,0.30,0.79,0.00,2.00,MISS,0.49
582.02,1.99,2.94,0.39,0.32,0.92,7.44,20.00,MISS,0.27
614.10,1.99,-0.00,0.48,0.56,0.84,-0.00,2.00,MISS,0.25
476.16,1.99,-5.85,0.52,0.19,0.92,5.45,17.00,MISS,0.02
411.24,1.99,0.02,0.75,0.27,0.76,3.50,3.00,MISS,0.82
399.14,1.99,-2.97,0.63,0.56,0.54,7.43,19.00,MISS,0.41
421.34,1.99,0.67,0.53,0.37,0.88,1.88,5.00,HIT,0.37
535.74,1.99,7.93,0.51,0.28,0.80,1.04,19.00,MISS,0.61
630.80,1.99,-3.83,0.63,0.13,0.86,1.17,4.00,HIT,0.38
321.06,1.99,1.86,0.50,0.00,0.70,7.78,24.00,MISS,0.58
477.55,1.99,4.31,0.44,-0.24,0.89,6.74,14.00,MISS,0.44
571.54,1.99,3.94,0.54,-0.49,0.88,3.08,0.00,HIT,0.40
556.54,1.99,-7.74,0.64,0.29,0.85,2.02,11.00,MISS,0.13
452.53,1.99,-6.45,0.69,0.37,0.90,4.73,25.00,MISS,-0.66
438.26,1.99,0.87,0.75,0.29,0.92,4.92,8.00,MISS,0.67
427.69,1.99,-5.02,0.66,-0.58,0.90,6.23,22.00,BULLETHITBULLET,0.37
386.91,1.99,0.85,0.77,0.20,0.80,0.52,4.00,MISS,-0.29
442.72,1.99,5.05,0.60,-0.15,0.59,6.20,18.00,BULLETHITBULLET,0.35
466.06,1.99,-0.00,0.23,-0.40,0.81,0.00,1.00,HIT,0.38
471.71,1.99,6.88,0.21,0.05,0.86,4.09,15.00,MISS,0.36
542.20,1.99,2.99,0.16,0.44,0.79,0.23,0.00,MISS,0.67
538.53,1.99,-5.59,0.32,0.18,0.91,5.73,14.00,MISS,0.37
520.95,1.99,-1.94,0.56,0.54,0.94,7.76,28.00,MISS,-0.26
534.34,1.99,-1.50,0.79,0.44,0.80,4.77,8.00,HIT,0.48
488.37,1.99,-5.37,0.69,0.33,0.90,5.93,23.00,BULLETHITBULLET,0.36
444.15,1.99,4.48,0.75,0.12,0.84,2.22,9.00,MISS,0.27
555.32,1.99,-2.74,0.72,-0.10,0.87,1.23,4.00,MISS,0.51
509.80,1.99,-0.84,0.70,0.23,0.81,7.96,18.00,MISS,0.11
500.66,1.99,-0.00,0.83,0.58,0.62,0.00,2.00,MISS,-0.38
446.23,1.99,-6.19,0.62,0.12,0.88,5.07,17.00,HIT,0.51
316.90,1.99,-0.56,0.76,0.26,0.81,0.83,0.00,MISS,0.26
327.78,1.99,7.95,0.59,0.36,0.74,0.93,14.00,MISS,-0.17
400.79,1.99,3.00,0.74,0.26,0.61,0.08,0.00,MISS,1.00
308.14,1.99,-0.95,0.56,0.94,0.16,7.94,26.00,BULLETHITBULLET,-0.07
365.69,1.99,-5.25,0.59,-0.06,0.54,6.04,12.00,MISS,1.00
309.05,1.99,-7.70,0.22,0.00,0.76,2.16,8.00,MISS,-0.39
254.29,1.99,-6.25,0.44,0.00,0.77,4.99,23.00,MISS,-0.59
294.04,1.99,-2.68,0.54,-0.22,0.90,6.47,10.00,MISS,0.71
258.72,1.99,-7.24,0.50,0.60,0.75,3.40,24.00,HIT,0.43
196.37,1.99,-3.07,0.15,0.00,0.83,7.39,32.00,MISS,1.00
314.91,1.99,3.74,0.53,0.00,0.15,7.07,49.00,MISS,-0.27
393.77,1.99,0.42,0.26,0.97,0.92,4.98,7.00,MISS,0.52
489.77,1.99,6.09,0.43,-0.19,0.87,5.19,21.00,HIT,0.47
521.28,1.99,-7.63,0.63,0.50,0.84,2.40,9.00,MISS,0.10
441.92,1.99,-6.71,0.68,0.29,0.88,4.36,23.00,MISS,-0.81
406.52,1.99,-1.15,0.65,-0.27,0.94,7.92,11.00,MISS,0.42
388.06,1.99,1.34,0.71,0.51,0.90,4.82,0.00,MISS,-0.39
441.19,1.99,6.37,0.65,0.41,0.86,4.84,11.00,HIT,0.47
564.72,1.99,-4.84,0.78,-0.35,0.84,1.25,5.00,HIT,0.50
499.29,1.99,-5.23,0.70,0.36,0.84,6.05,21.00,MISS,-0.40
468.68,1.99,0.52,0.73,0.48,0.89,2.95,7.00,MISS,0.62
399.25,1.99,-6.64,0.65,-0.34,0.88,4.46,21.00,BULLETHITBULLET,0.50
331.39,1.99,3.37,0.71,0.21,0.79,0.94,3.00,MISS,0.61
388.55,1.99,2.25,0.61,0.43,0.90,7.68,17.00,MISS,-0.09
438.88,1.99,5.56,0.70,0.18,0.86,4.25,8.00,MISS,0.40
535.80,1.99,0.78,0.55,0.21,0.92,7.96,11.00,MISS,0.41
543.26,1.99,6.01,0.47,-0.54,0.88,5.28,25.00,HIT,0.47
505.13,1.99,-5.63,0.44,0.33,0.84,2.08,9.00,HIT,0.51
450.32,1.99,0.09,0.60,0.36,0.94,8.00,25.00,HIT,-0.05
217.96,1.99,-2.74,0.28,0.00,0.70,7.52,29.00,MISS,1.00
312.93,1.99,3.22,0.54,0.00,0.14,7.32,44.00,BULLETHITBULLET,-0.13
378.79,1.99,0.80,0.31,0.00,0.92,4.94,11.00,MISS,0.48
481.65,1.99,6.41,0.42,0.31,0.86,4.78,25.00,HIT,0.45
543.43,1.99,-3.95,0.78,0.39,0.68,0.66,4.00,MISS,-0.40
470.99,1.99,-6.34,0.69,0.40,0.89,4.89,18.00,MISS,-0.40
440.82,1.99,0.69,0.79,-0.45,0.89,2.92,3.00,MISS,0.69
391.56,1.99,-6.36,0.63,-0.36,0.87,4.85,17.00,HIT,0.49
313.68,1.99,3.43,0.67,0.23,0.70,0.71,3.00,MISS,0.72
365.35,1.99,-0.08,0.11,0.76,0.87,2.00,6.00,BULLETHITBULLET,0.45
364.83,1.99,3.56,0.61,0.46,0.49,7.16,17.00,HIT,-0.12
403.34,1.99,7.98,0.12,-0.09,0.74,0.52,20.00,MISS,0.44
503.28,1.99,0.00,0.28,0.02,0.80,0.00,1.00,MISS,0.71
479.77,1.99,-4.57,0.42,0.29,0.92,6.57,15.00,MISS,0.23
467.15,1.99,-1.75,0.70,0.70,0.92,4.68,0.00,MISS,-0.53
476.12,1.99,-4.11,0.67,0.25,0.87,6.86,12.00,MISS,0.51
430.09,1.99,1.23,0.78,0.38,0.87,1.58,2.00,MISS,0.17
560.81,1.99,-0.00,0.79,-0.07,0.63,-0.00,2.00,MISS,0.76
511.66,1.99,-1.88,0.70,-0.31,0.90,7.77,18.00,MISS,0.15
500.79,1.99,-0.00,0.83,0.81,0.75,0.00,0.00,MISS,-0.40
491.87,1.99,-5.04,0.68,0.18,0.92,6.21,14.00,MISS,0.52
398.48,1.99,-4.26,0.67,0.28,0.90,5.55,0.00,MISS,0.16
424.73,1.99,7.00,0.66,0.36,0.85,3.87,10.00,MISS,-0.21
471.91,1.99,5.58,0.67,0.26,0.89,5.73,24.00,MISS,-0.54
457.28,1.99,5.96,0.63,0.14,0.87,5.33,10.00,MISS,0.39
546.35,1.99,7.87,0.74,-0.18,0.71,1.42,24.00,MISS,0.73
555.98,1.99,-3.67,0.76,0.22,0.93,4.75,12.00,HIT,0.51
361.39,1.99,4.80,0.62,0.70,0.79,6.40,40.00,BULLETHITBULLET,0.42
338.16,1.99,-1.02,0.58,0.00,0.93,7.94,23.00,MISS,1.00
475.60,1.99,6.95,0.67,0.00,0.52,3.97,54.00,MISS,-0.14
564.54,1.99,-0.00,0.01,0.20,0.74,0.00,5.00,MISS,0.71
578.15,1.99,-4.61,0.63,0.10,0.77,1.94,7.00,HIT,0.47
541.12,1.99,-3.00,0.70,0.48,0.75,7.42,21.00,MISS,-0.14
548.78,1.99,0.35,0.50,0.57,0.84,1.97,5.00,MISS,0.51
532.12,1.99,-5.20,0.51,-0.09,0.92,6.08,19.00,HIT,0.38
518.04,1.99,-0.00,0.85,0.51,0.66,-0.00,2.00,MISS,0.27
566.82,1.99,7.92,0.60,0.26,0.80,1.10,18.00,MISS,-0.64
550.31,1.99,-0.00,0.80,-0.06,0.72,0.00,1.00,MISS,0.69
431.37,1.99,-0.68,0.64,0.19,0.70,7.97,16.00,MISS,0.44
482.98,1.99,1.44,0.80,-0.64,0.31,2.63,0.00,MISS,0.34
477.98,1.99,-7.88,0.69,0.46,0.50,1.40,13.00,BULLETHITBULLET,0.04
405.22,1.99,-2.12,0.72,0.00,0.67,4.53,0.00,MISS,-0.52
424.77,1.99,-4.58,0.62,-0.13,0.91,5.29,11.00,MISS,0.33
357.54,1.99,-7.99,0.62,0.24,0.74,0.39,25.00,HIT,0.45
334.91,1.99,3.02,0.68,0.04,0.87,2.62,7.00,MISS,0.83
344.86,1.99,-0.61,0.57,0.52,0.80,7.98,21.00,MISS,0.15
304.54,1.99,0.00,0.45,0.38,0.76,0.00,3.00,MISS,0.04
359.83,1.99,7.31,0.63,0.15,0.20,3.26,17.00,MISS,-0.29
433.86,1.99,2.28,0.28,-0.14,0.93,7.67,15.00,BULLETHITBULLET,0.36
409.08,1.99,0.00,0.03,0.01,0.79,-0.00,1.00,MISS,0.71
506.96,1.99,1.30,0.59,0.71,0.90,2.70,0.00,MISS,0.10
511.68,1.99,-6.41,0.75,-0.06,0.69,2.81,12.00,MISS,-0.08
460.68,1.99,5.96,0.73,0.10,0.86,3.67,10.00,BULLETHITBULLET,0.45
431.33,1.99,-7.99,0.67,-0.03,0.76,0.30,26.00,MISS,0.65
615.68,1.99,-1.44,0.76,0.08,0.74,2.63,6.00,MISS,0.61
659.81,1.99,4.28,0.76,-0.24,0.51,6.76,20.00,MISS,0.66
696.86,1.99,0.00,0.86,-0.40,0.24,0.00,3.00,HIT,0.27
543.23,1.99,-7.70,0.73,0.59,0.22,2.17,17.00,MISS,-0.25
357.30,1.99,-0.90,0.77,0.55,0.10,0.43,0.00,MISS,-0.84
392.68,1.99,-0.78,0.27,-0.06,0.94,7.96,13.00,MISS,0.48
380.13,1.99,-3.87,0.59,0.50,0.91,7.00,27.00,HIT,0.16
453.81,1.99,7.47,0.64,0.49,0.83,2.87,9.00,MISS,-0.16
590.97,0.30,0.78,0.75,0.25,0.93,4.94,9.00,MISS,0.45
611.91,0.30,7.50,0.61,-0.03,0.78,2.79,20.00,HIT,0.47
306.24,1.99,-7.65,0.56,0.00,0.77,2.35,28.00,HIT,0.43
229.18,1.99,-6.98,0.39,0.00,0.75,3.90,42.00,HIT,0.38
238.93,1.99,-3.03,0.39,0.00,0.58,7.40,56.00,MISS,1.00
293.85,1.99,2.65,0.54,1.00,0.02,7.55,70.00,HIT,-0.13
278.08,1.99,-6.47,0.50,-0.06,0.82,4.71,13.00,MISS,0.79
292.36,1.99,0.15,0.63,0.76,0.78,5.00,0.00,MISS,-0.32
275.65,1.99,-7.85,0.53,-0.30,0.67,1.54,12.00,HIT,0.42
287.98,1.99,-0.84,0.65,0.00,0.86,3.91,8.00,BULLETHITBULLET,0.56
239.33,1.99,-7.78,0.44,0.00,0.68,1.86,22.00,HIT,0.31
192.29,1.99,1.97,0.51,0.00,0.65,0.37,4.00,MISS,1.00
313.04,1.99,5.73,0.55,0.81,0.67,5.58,18.00,MISS,-0.17
419.69,1.99,-0.87,0.50,0.36,0.83,0.50,2.00,MISS,0.71
448.59,1.99,2.35,0.67,0.47,0.87,7.65,18.00,MISS,0.33
496.60,1.99,-1.60,0.64,0.72,0.89,1.92,2.00,MISS,-0.05
432.77,1.99,-7.98,0.59,0.04,0.77,0.56,16.00,HIT,0.44
394.05,1.99,0.97,0.79,0.03,0.69,0.23,4.00,MISS,-0.46
459.07,0.89,5.26,0.62,-0.26,0.90,6.03,18.00,MISS,-0.12
532.23,0.85,1.85,0.80,-0.56,0.87,2.37,0.00,MISS,-0.53
565.28,0.85,4.46,0.68,0.15,0.91,6.64,10.00,HIT,0.39
576.10,1.99,-0.00,0.80,0.15,0.78,-0.00,3.00,MISS,0.35
561.08,1.99,0.00,0.84,0.15,0.00,0.00,18.00,MISS,1.00
