distance,myBulletPower,opponentAdvancingVelocity,opponentBackwardWall,opponentCurrentGuessFactor,opponentDistanceLast10,opponentForwardWall,opponentLateralVelocity,opponentTimeSinceLastDeceleration,type,guessFactor
512,1.99,4.53,0.69,0.93,72,0.91,6.59,33,BULLETHITBULLET,0.73
526,1.99,0,0.84,0.86,51.77,0.83,0,0,MISS,0.41
475,1.99,0,0.82,0.25,24,0.82,0,2,MISS,0.99
467,1.99,0.02,0.68,0.27,72,0.93,8,19,MISS,0.23
551,1.99,6.23,0.69,0.89,71.75,0.89,5.02,10,MISS,-0.49
555,1.99,-3.28,0.75,0.41,20.50,0.89,5.61,6,MISS,0.29
490,1.99,0.41,0.70,-0.44,71.72,0.94,7.99,20,MISS,-0.42
509,1.99,0,0.82,-0.10,24.97,0.84,0,0,MISS,0.20
551,1.76,-1.85,0.80,0.25,14.01,0.83,2.97,3,MISS,-0.52
631,0.10,-1.57,0.79,0.26,21.99,0.90,2.55,3,BULLETHITBULLET,0.71
581,1.66,3.55,0.64,-0.18,55,0.90,7.17,11,MISS,-0.04
614,0.10,-2.36,0.68,0.06,69,0.93,7.64,14,MISS,-0.70
622,0.10,-0.26,0.81,0.11,9.98,0.90,1.98,3,MISS,1.00
612,0.10,-0.22,0.69,-0.28,66,0.89,8,14,MISS,0.86
636,0.10,4.72,0.69,0.77,59.40,0.68,6.46,5,HIT,0.36
706,0.10,4.37,0.73,0.79,71.63,0.50,6.70,16,MISS,-0.36
722,0.10,-0.36,0.47,0.46,3.82,0.90,1.97,6,HIT,0.72
737,0.10,3.64,0.68,0.63,72,0.94,7.12,11,MISS,-0.53
726,0.10,-4.24,0.75,0,26,0.79,5.57,7,MISS,0.12
679,0.10,-3.56,0.71,-0.36,72,0.63,7.16,18,MISS,-0.19
676,0.10,0.17,0.54,0.45,9.98,0.91,2,3,MISS,0.51
674,0.10,-1.80,0.63,-0.22,66,0.97,7.79,14,MISS,0.17
678,0.10,-0.01,0.86,0.26,17.04,0.75,1,0,MISS,-0.25
684,0.10,0.20,0.70,0.48,54,0.91,8,10,MISS,-0.10
693,0.10,-0.10,0.84,0.17,13.98,0.83,1,0,MISS,-0.20
667,0.10,0,0.84,-0.25,2.66,0.84,0,2,MISS,-0.43
633,0.10,-0.34,0.83,0.06,12,0.91,1.97,2,MISS,0.37
654,0.10,1.26,0.70,-0.31,68.99,0.83,7.90,4,MISS,-0.54
670,0.10,-2.63,0.69,0.42,15.01,0.94,5.39,6,MISS,0.82
666,0.10,-0.88,0.76,-0.10,20.84,0.93,4.92,5,MISS,0.84
655,0.10,-0.47,0.70,0.46,71.98,0.81,7.99,17,MISS,0.31
673,0.10,1.40,0.71,0.76,71.91,0.61,7.88,28,MISS,-0.06
670,0.10,0,0.87,0.84,27.92,0.40,0,3,MISS,-0.08
671,0.10,0.73,0.49,0.35,50.29,0.97,7.97,15,MISS,0.05
640,0.10,-6.31,0.71,-0.16,43.94,0.50,4.91,9,MISS,-0.62
628,0.10,0.26,0.51,-0.07,7.94,0.93,5,5,MISS,0.83
638,0.10,-0.52,0.61,-0.33,44,0.96,7.98,9,MISS,1.00
641,0.10,1.39,0.69,0.62,71.95,0.91,7.88,20,MISS,0.84
662,0.10,2.71,0.69,0.66,59.94,0.78,7.53,4,MISS,0.62
693,0.10,1.98,0.66,0.96,71.81,0.63,7.75,15,MISS,0.12
689,0.10,-1.45,0.79,0.62,5.88,0.49,1.38,2,HIT,-0.21
680,0.10,1.17,0.42,0.28,5.96,0.92,2.76,8,MISS,0.31
675,0.10,1,0.43,-0.23,19.98,0.92,2.56,0,MISS,0.28
673,0.10,0.82,0.37,0.18,1,0.86,0.57,8,MISS,0.53
686,0.10,0.13,0.67,0.28,38.16,0.89,2.25,1,BULLETHITBULLET,0.72
679,0.10,-1.24,0.83,0.13,29.13,0.47,0.84,1,MISS,-0.68
683,0.10,-0.89,0.66,0.47,44,0.95,7.95,9,MISS,-0.23
674,0.10,-0.22,0.83,-0.66,60,0.83,1.99,0,MISS,-0.65
656,0.10,-2.60,0.70,0.10,54,0.88,7.57,10,MISS,0.10
631,0.10,-0.40,0.70,-0.58,68.73,0.73,8,2,MISS,-0.79
631,0.10,0.18,0.63,0.41,0.32,0.89,2,3,MISS,0.92
641,0.10,1.15,0.68,-0.36,69,0.95,7.92,15,MISS,0.38
669,0.10,1.75,0.71,0.76,71.91,0.85,7.81,28,MISS,-0.37
677,0.10,-1.58,0.73,0.53,5.19,0.93,2.55,3,MISS,0.43
647,0.10,-2,0.68,-0.18,68.64,0.94,7.75,14,MISS,-0.10
630,0.10,0,0.82,0.43,9.96,0.87,0,1,MISS,0.58
630,0.10,-0.31,0.80,0.14,3,0.91,1.98,12,BULLETHITBULLET,0.71
603,0.10,-0.64,0.67,0.49,68.94,0.84,7.97,7,MISS,0.14
587,0.10,-0.05,0.71,0.62,26.92,0.71,6,6,MISS,-0.12
576,0.10,1.26,0.56,0.26,15,0.96,5.87,6,MISS,-0.10
587,0.10,0,0.83,-0.12,8.31,0.71,0,0,MISS,0.04
587,0.10,-1.57,0.62,0.23,15.43,0.94,5.79,6,BULLETHITBULLET,0.77
578,0.10,-3.18,0.66,-0.05,51,0.71,7.34,13,MISS,-0.95
586,0.10,-0.73,0.65,-0.56,71.81,0.95,7.97,17,BULLETHITBULLET,0.29
572,0.10,3.55,0.65,0,59,0.89,7.17,5,MISS,-0.74
592,0.10,-1.09,0.70,-0.02,15.26,0.96,5.90,6,MISS,0.55
571,0.10,0.65,0.78,-0.73,65.98,0.89,3.95,0,HIT,-0.27
574,0.10,0,0.85,0.08,15.48,0.81,0,2,MISS,-1.00
585,0.10,0.77,0.64,-0.22,57,0.95,7.96,13,MISS,1.00
587,0.10,2.42,0.65,-0.71,71.91,0.89,7.63,24,MISS,0.98
598,0.10,-3.07,0.68,0.84,68.31,0.40,7.39,3,BULLETHITBULLET,0.02
598,0.10,1.33,0.67,0.72,71.72,0.70,7.89,36,MISS,0.96
535,0.10,-3.87,0.76,0,65.50,0.30,3.16,0,MISS,-1.00
543,0.10,0.23,0.31,-0.27,47.15,0.95,8,9,HIT,0.97
559,0.10,0.79,0.55,-0.77,72,0.96,7.96,20,MISS,0.56
579,0.10,1.32,0.66,0.78,72,0.94,7.89,31,MISS,-0.05
600,0.10,-3.78,0.73,0.59,15.12,0.92,4.66,6,MISS,-0.06
580,0.10,0,0.78,0.23,42.94,0.84,0,1,MISS,0.49
598,0.10,-0.32,0.81,-0.07,53.91,0.90,1.97,0,MISS,-0.09
612,0.10,-0.35,0.79,0.14,4,0.90,2.98,3,MISS,0.01
630,0.10,0.22,0.83,0,4.02,0.84,0.97,2,MISS,0.97
622,0.10,-1.03,0.68,0.34,65.99,0.79,7.93,14,MISS,0.61
591,0.10,-3.64,0.65,0.73,71.45,0.60,7.12,25,HIT,-0.10
535,0.10,0,0.83,0.22,15.46,0.34,0,0,MISS,-0.57
541,0.10,3.13,0.51,-0.30,56.93,0.94,7.36,11,MISS,0.12
550,0.10,0,0.82,-0.57,13,0.75,0,3,MISS,-0.16
533,0.10,-2.28,0.76,0.13,32.77,0.71,4.45,0,MISS,-0.60
539,0.10,0.79,0.57,-0.06,39.94,0.96,7.96,8,MISS,0.10
552,0.10,2.09,0.76,-0.59,44.94,0.92,3.41,0,MISS,-0.71
528,0.10,1.98,0.72,-0.32,25.85,0.84,4.59,5,MISS,0.74
600,0.10,3.25,0.67,0.51,71.42,0.62,7.31,19,MISS,0.67
632,0.10,0,0.86,0.74,23.42,0.54,0,1,MISS,0.65
616,0.10,-2.09,0.73,0.47,27.37,0.58,6.68,12,MISS,0.63
559,0.10,-3.46,0.76,0.49,29.28,0.44,2,4,BULLETHITBULLET,-0.22
517,0.10,-2.65,0.78,0.45,26.93,0.42,1.41,3,MISS,1.00
474,0.10,-6.05,0.58,0.46,69,0.64,5.23,14,MISS,1.00
431,0.10,-4.72,0.54,0.52,72,0.77,6.46,25,MISS,1.00
381,0.10,-3.49,0.51,0.57,72,0.85,7.20,36,MISS,0.98
368,0.10,-2.91,0.47,0.81,71.48,0.56,7.45,50,MISS,-0.51
359,0.10,-0.24,0.36,0.26,11.58,0.92,4,4,MISS,0.38
370,0.10,0.77,0.69,0.50,58.87,0.83,1.85,0,MISS,-0.80
356,0.10,-3.90,0.44,-0.43,50.93,0.65,6.98,10,HIT,1.00
522,1.99,0.83,0.68,0,71.77,0.93,7.96,29,MISS,-0.87
528,1.99,-2.94,0.70,-0.03,36,0.87,7.44,8,MISS,0.97
523,1.99,-0.12,0.70,-0.56,72,0.71,8,22,MISS,0.47
561,1.99,-0.38,0.67,0.84,68.14,0.67,8,6,MISS,-0.47
506,1.99,1.32,0.52,-0.25,51,0.93,7.89,10,MISS,0.18
513,1.99,-1.17,0.81,0.17,4.26,0.69,1.62,0,MISS,0.10
519,1.99,0,0.64,0.18,0,0.85,0,8,BULLETHITBULLET,1.00
508,1.99,-2.68,0.75,0.07,20.93,0.71,5.37,22,MISS,-0.78
502,1.99,0.20,0.62,0.02,2.87,0.89,3,3,MISS,0.60
532,1.99,2.80,0.69,-0.49,72,0.93,7.50,19,MISS,0.12
512,1.99,-1.95,0.77,0.61,32.99,0.92,4.60,0,MISS,-0.42
512,1.99,0,0.84,0.12,1,0.84,0,6,MISS,0.53
506,1.99,-0.91,0.70,-0.15,51,0.94,7.95,20,MISS,0.03
517,1.99,0,0.83,0.53,2,0.83,0,4,MISS,-0.52
501,1.76,-1.20,0.69,-0.29,66,0.94,7.91,18,MISS,-0.05
519,1.66,0,0.83,-0.52,11,0.83,0,3,MISS,0.51
509,1.64,-0.13,0.67,0.08,36,0.93,8,19,MISS,0.57
490,1.50,0,0.83,0.51,28,0.83,0,3,MISS,-0.06
503,1.29,2.27,0.67,0.01,57,0.93,7.67,11,BULLETHITBULLET,0.17
486,1.39,-0.22,0.77,0.57,53.99,0.82,1.99,0,MISS,-1.00
569,1.20,4.50,0.67,-0.84,72,0.92,6.62,25,MISS,-0.55
566,1.12,-3.09,0.68,-0.03,57,0.90,7.38,11,MISS,1.00
485,1.05,-2.36,0.57,0.43,72,0.89,7.64,25,HIT,0.96
442,0.99,-2.03,0.59,0.87,71.98,0.79,7.74,38,MISS,0.39
407,1.31,-3.84,0.54,0.55,71.16,0.38,7.02,50,MISS,-1.00
421,1.22,-1.21,0.50,-0.29,43.98,0.93,7.91,9,BULLETHITBULLET,0.96
442,0.62,-0.65,0.59,-1,72,0.93,7.97,22,MISS,-0.80
470,0.60,1.08,0.71,-0.03,23.61,0.91,4.88,3,MISS,0.36
531,0.57,3.88,0.64,0.44,71.98,0.83,7,15,MISS,-0.20
546,0.55,-0.76,0.79,0.37,26.95,0.75,1.85,0,MISS,0.27
559,0.53,-0.60,0.83,-0.20,13.48,0.69,1.10,1,HIT,0.56
563,0.51,-4.53,0.72,0.23,28,0.69,5.33,11,MISS,0.26
554,0.49,-4.72,0.73,0.30,20.99,0.55,4.09,6,MISS,-0.35
508,0.53,1.44,0.33,0.31,15.54,0.90,3.19,3,MISS,0.63
530,0.51,4.72,0.27,-0.30,62,0.92,6.46,12,MISS,0.56
558,0.51,0,0.60,0.26,26.94,0.82,0,1,HIT,0.61
558,0.54,0.86,0.72,0.56,59.66,0.93,3.91,0,MISS,0.64
557,0.58,0.25,0.66,0.50,35.68,0.95,8,8,MISS,0.82
563,0.86,0.11,0.68,0.43,44.57,0.92,8,6,MISS,0.82
597,0.86,4.18,0.70,0.72,56.98,0.86,6.82,9,MISS,0.01
554,0.77,0.75,0.56,0.26,35.95,0.94,7.96,8,MISS,0.49
580,0.77,2.04,0.67,-0.53,44.92,0.93,6.70,5,MISS,-0.28
603,0.10,-1.83,0.71,0.57,10.09,0.90,3.56,4,MISS,1.00
560,0.68,-2.70,0.68,-0.11,71.95,0.86,7.53,16,MISS,0.86
502,0.68,-3.13,0.63,0.83,71.79,0.76,7.36,28,MISS,0.59
463,0.68,-0.13,0.66,0.49,30.06,0.85,1.49,1,HIT,0.57
483,0.68,-1.06,0.65,0.03,17.02,0.92,5.91,6,MISS,0.08
462,0.50,0.91,0.61,0.10,15.16,0.96,5.93,6,BULLETHITBULLET,0.73
486,0.58,-2,0.69,0.29,20.59,0.91,6.19,6,MISS,-0.29
490,0.50,-0.25,0.81,-0.30,42.98,0.82,0.97,1,MISS,1.00
489,0.50,0.45,0.62,0.38,62,0.95,7.99,12,HIT,0.97
492,0.50,-0.09,0.60,0.87,71.83,0.94,8,23,MISS,0.54
466,0.50,-1.04,0.61,0.83,68.93,0.87,7.93,6,BULLETHITBULLET,0.02
464,0.40,-0.08,0.80,0.53,9,0.77,1,1,MISS,-0.65
481,0.40,-0.58,0.60,-0.26,43.95,0.94,7.98,9,MISS,0.43
490,0.40,0,0.83,-0.65,26.45,0.83,0,1,MISS,0.40
499,0.40,0.37,0.68,0,20,0.94,5.99,6,BULLETHITBULLET,0.76
525,0.40,3.17,0.70,0,59.64,0.78,6.24,3,MISS,-0.55
537,0.40,-0.26,0.66,-0.02,15.32,0.94,6,6,MISS,0.21
537,0.40,0.27,0.75,-0.51,65.99,0.92,4,0,MISS,-0.71
542,0.31,-3.77,0.69,0.28,27.98,0.92,5.90,10,BULLETHITBULLET,0.03
521,0.31,-0.44,0.64,-0.53,61.46,0.78,7.99,8,MISS,-0.50
528,0.31,-0.51,0.61,0.28,32.96,0.88,1.93,2,MISS,1.00
515,0.31,-1.36,0.61,-0.17,66,0.97,7.88,13,MISS,0.83
511,0.31,2.07,0.61,0.81,71.42,0.93,7.73,24,MISS,0.20
535,0.31,1.41,0.66,0.75,71.52,0.96,7.87,35,MISS,-0.66
539,0.31,-1.72,0.65,0.27,47.47,0.96,7.81,9,MISS,0.57
548,0.31,-0.10,0.82,0.34,45,0.86,1,1,MISS,0.23
552,0.31,-0.43,0.81,0.57,45,0.84,2.97,1,MISS,-0.26
550,0.31,0,0.81,0.23,4,0.79,0,2,MISS,0.06
542,0.23,2.18,0.66,0,61.98,0.86,7.70,12,MISS,-0.94
551,0.23,-0.72,0.65,-0.16,44,0.95,7.97,9,HIT,0.96
606,0.23,3.37,0.62,0.98,72,0.94,7.25,37,BULLETHITBULLET,-0.99
574,0.23,2.57,0.63,0.57,72,0.94,7.58,25,HIT,0.50
572,0.23,0,0.83,0.59,3,0.81,0,1,MISS,-0.91
582,0.23,1.07,0.62,-0.26,51,0.88,7.93,10,HIT,0.97
622,0.14,1.56,0.61,-0.68,71.81,0.88,7.85,21,MISS,0.74
614,0.14,-2.16,0.65,0.78,71.29,0.87,7.70,32,MISS,0.66
536,0.14,-3.30,0.69,0.60,28,0.75,6.17,8,MISS,0.64
391,0.13,0,0.60,0.64,17.90,0.79,0,2,MISS,-0.23
410,0.13,0,0.73,-0.23,17.99,0.76,0,2,MISS,-0.79
384,0.13,-2.74,0.57,-0.21,28,0.85,6.44,13,HIT,1.00
323,0.98,-2.77,0.46,0.63,71.98,0.69,7.51,24,MISS,0.17
330,0.13,-1.07,0.35,0.40,12.60,0.88,3.85,4,MISS,-0.20
326,0.13,-4.73,0.54,0.06,21.48,0.57,4.45,6,MISS,0.45
304,0.70,0,0.40,0.45,17.98,0.77,0,1,MISS,-0.69
316,0.66,-0.61,0.69,-0.63,44.54,0.62,1.90,0,HIT,-0.59
388,0.10,-0.73,0.75,0.40,42.94,0.57,0.69,1,BULLETHITBULLET,-0.62
341,0.13,2.10,0.34,-0.40,43.94,0.94,7.72,9,MISS,0.20
369,0.10,0.94,0.51,0,37.04,0.76,0.33,1,MISS,1.00
438,0.10,4.96,0.51,0.37,60.77,0.92,6.27,12,MISS,0.79
487,0.10,1.47,0.69,0.47,65.40,0.91,3.72,0,MISS,-0.09
532,0.10,1.50,0.65,0.05,47.50,0.88,7.86,9,MISS,-0.16
557,0.10,-1.32,0.70,0.04,9.07,0.95,5.34,5,MISS,-0.15
572,0.10,0,0.85,-0.16,4,0.83,0,1,MISS,-0.20
569,0.10,1,0.68,-0.14,51,0.91,3.87,0,MISS,-0.48
503,0.10,0,0.81,-0.20,13.99,0.69,0,1,MISS,0.30
345,0.10,1.81,0.44,0.03,24.99,0.89,4.12,1,MISS,0.65
360,0.10,0,0.77,0.65,26.95,0.43,0,2,MISS,0.69
274,0.10,-7.47,0.34,0.44,43.43,0.32,2.85,13,MISS,0.08
173,0.10,1.09,0.11,0.08,5.35,0.42,1.68,1,HIT,-0.25
458,1.99,4.43,0.66,0.25,64.82,0.90,6.66,11,BULLETHITBULLET,0.18
410,1.99,8,0.59,0,71.93,0.74,0.12,28,MISS,0.81
468,1.99,-0.71,0.68,0.75,70.96,0.93,7.97,25,MISS,-0.96
454,1.99,0.14,0.67,-0.20,51,0.90,8,10,HIT,0.86
488,1.99,3.86,0.70,-0.88,72,0.71,7,26,HIT,0.08
523,1.99,0.75,0.82,0.90,59.62,0.44,1.85,0,MISS,-0.87
513,1.99,1.05,0.48,0.20,57,0.91,7.93,11,MISS,0.41
541,1.99,4.07,0.66,-0.65,71.79,0.92,6.89,25,MISS,-0.18
548,1.99,-1.69,0.83,0.52,19.76,0.85,1.84,2,MISS,0.65
506,1.99,-0.65,0.79,0.02,29.72,0.82,3.95,4,MISS,0.27
529,1.99,4.35,0.66,0.59,71.08,0.70,6.72,18,MISS,-0.47
515,1.99,0,0.64,0.28,47.94,0.90,4,0,MISS,0.51
516,1.99,1.67,0.65,-0.38,44,0.91,7.82,12,MISS,0.52
527,1.99,0.78,0.71,0.34,31.07,0.91,7.46,7,MISS,0.43
538,1.99,-1.35,0.75,0.38,29.64,0.93,5.85,5,MISS,0.47
548,1.99,-0.67,0.80,0.40,9.10,0.88,3.94,4,HIT,0.52
569,1.99,-1.52,0.79,0.24,15,0.86,4.76,11,MISS,0.65
532,1.99,-1.87,0.69,0.45,72,0.71,7.78,25,MISS,0.23
480,1.99,0.05,0.58,0.23,29.94,0.90,3,1,BULLETHITBULLET,0.51
491,1.99,0.24,0.63,-0.26,43.84,0.94,8,9,MISS,0.65
514,1.99,2.45,0.68,0.50,72,0.91,7.61,27,MISS,0.33
531,1.99,0,0.85,0.65,10.99,0.79,0,3,MISS,-0.34
508,1.99,-0.92,0.70,0.28,35.71,0.93,7.95,18,MISS,0.29
525,1.99,0.03,0.76,-0.21,11.04,0.91,4,5,MISS,0.05
493,1.99,-0.24,0.84,0.29,16,0.87,0.97,1,MISS,-0.27
453,0.77,-1.13,0.77,0.15,3.04,0.89,2.78,3,HIT,0.96
420,0.77,-1.97,0.38,-0.19,71,0.94,7.75,15,MISS,0.39
512,1.99,-1.13,0.81,0.47,32.97,0.86,1.65,2,MISS,0.33
509,1.99,-2.25,0.70,0.25,51,0.85,7.68,9,MISS,-0.29
507,1.99,0,0.84,0.33,1,0.82,0,7,MISS,-0.70
473,1.99,-2.54,0.72,0,20.98,0.89,5.43,21,MISS,0.66
466,1.99,0.83,0.68,-0.56,68.98,0.93,7.96,8,MISS,-0.23
501,0.58,0,0.83,0.66,7,0.83,0,3,MISS,0.31
487,0.58,-0.93,0.62,-0.13,62,0.94,7.95,16,MISS,-0.62
431,0.58,-1.25,0.64,-0.18,38.91,0.94,5.87,4,MISS,0.16
440,0.58,-0.68,0.77,0.29,22.12,0.90,2.92,3,MISS,0.15
462,0.58,-0.11,0.82,0.15,1.07,0.85,1,1,MISS,-0.50
466,0.47,-0.28,0.78,-0.03,6,0.91,2.99,9,MISS,0.66
469,0.48,1.22,0.74,0.48,29.91,0.83,3.81,4,MISS,-0.22
502,0.49,-1.13,0.67,0.14,7.34,0.94,3.84,4,MISS,0.61
531,0.61,-0.27,0.66,0.52,51,0.92,8,10,MISS,-0.98
555,0.58,1.67,0.67,-0.15,44,0.95,7.82,9,MISS,0.59
596,0.58,2.27,0.68,-0.79,72,0.86,7.67,22,MISS,-0.09
631,0.10,0,0.64,0.59,12,0.86,0,5,MISS,0.42
644,0.10,-0.12,0.58,0.06,35.98,0.95,8,20,MISS,0.01
664,0.10,0,0.81,0.42,21,0.85,0,2,MISS,-0.61
635,0.10,-1.77,0.69,0.11,35.98,0.90,7.80,14,HIT,0.29
634,0.10,-0.17,0.74,-0.40,29.98,0.86,7,7,BULLETHITBULLET,-0.17
640,0.10,2.71,0.60,0,65.81,0.95,7.53,13,MISS,-0.75
632,0.10,-3.58,0.74,-0.04,26,0.78,6.01,7,MISS,0.63
575,0.50,-4.22,0.66,-0.56,72,0.61,6.79,18,HIT,0.50
556,0.40,0,0.55,0.27,17.06,0.82,0,1,MISS,-0.98
527,0.40,-4.33,0.63,-0.58,71.92,0.76,6.73,17,MISS,-0.21
476,0.40,0.34,0.58,0.32,11.68,0.91,3.99,4,MISS,0.28
515,0.31,-1.55,0.76,0.43,10.65,0.88,3.69,4,MISS,-0.45
507,0.31,-0.36,0.78,0.15,21.42,0.90,2.98,3,MISS,0.41
482,0.31,-1.06,0.61,-0.29,69,0.96,7.93,14,MISS,-0.36
455,0.31,-0.06,0.79,0,25,0.83,1,1,MISS,-0.07
458,0.31,2.20,0.67,-0.33,51.99,0.95,5.58,0,BULLETHITBULLET,-0.71
444,0.31,-1.43,0.72,-0.08,45,0.93,3.74,0,MISS,-0.49
445,0.31,-0.13,0.58,-0.13,44,0.95,8,9,MISS,0.02
483,0.31,0,0.82,0.02,38,0.82,0,1,MISS,-0.90
505,0.31,-0.60,0.62,-0.75,72,0.96,7.98,23,BULLETHITBULLET,0.50
502,0.31,-0.62,0.62,-0.26,43.99,0.96,7.98,12,MISS,0.61
532,0.31,7.11,0.61,0,39.58,0.84,3.67,8,BULLETHITBULLET,0.25
549,0.23,0,0.84,0.11,0,0.84,0,15,MISS,-0.45
548,0.23,0.10,0.70,-0.14,27.88,0.96,7,26,MISS,0.14
556,0.23,0,0.82,-0.45,7.50,0.82,0,2,MISS,0.15
664,0.23,2.60,0.56,-0.72,71.63,0.85,7.57,35,MISS,0.37
622,0.10,-3.09,0.60,0.68,70.84,0.77,7.38,46,MISS,0.11
576,0.23,-1.99,0.60,0.40,12.53,0.91,5.13,5,MISS,-0.65
597,0.23,-1.52,0.62,-0.45,57,0.93,7.85,11,BULLETHITBULLET,0.97
595,0.23,0,0.74,-0.08,18.67,0.76,0,0,MISS,-1.00
