distance,myBulletPower,opponentAdvancingVelocity,opponentBackwardWall,opponentCurrentGuessFactor,opponentDistanceLast10,opponentForwardWall,opponentLateralVelocity,opponentTimeSinceLastDeceleration,type,guessFactor
473,1.14,0.30,0.75,0.27,18.93,0.84,4.57,4,MISS,0.80
472,1.29,-1.62,0.65,-0.72,71.36,0.59,7.83,19,MISS,-0.06
469,1.40,0.52,0.50,0.80,16.95,0.87,1.93,4,MISS,0.72
480,1.48,-0.45,0.52,0.02,43.88,0.93,7.99,9,MISS,0.63
476,1.52,-0.44,0.60,0.54,61.93,0.92,7.99,10,MISS,0.08
480,0.89,-0.09,0.79,0.58,22.91,0.87,1.75,2,MISS,-0.69
480,1.11,-0.31,0.73,0.26,7.63,0.87,5.12,5,MISS,0.93
482,1.30,-0.32,0.67,-0.60,71.75,0.73,8,19,MISS,0.07
470,1.44,-1.79,0.73,0.51,65.50,0.69,4.67,0,MISS,-0.76
447,1.45,1.08,0.48,0.21,53.91,0.93,7.93,10,MISS,0.05
450,0.82,0,0.76,-0.76,51.72,0.81,0,0,MISS,-0.47
454,1.10,0.82,0.63,0.16,53.96,0.70,7.96,10,MISS,-0.23
442,1.03,0.53,0.42,-0.50,3.02,0.92,3.97,4,MISS,0.77
447,0.92,0.53,0.64,0.33,41.93,0.95,4.97,2,MISS,0.72
440,0.83,0.87,0.61,0.44,72,0.95,7.95,14,HIT,0.03
442,0.76,0,0.79,0.74,36.88,0.79,0,0,MISS,-0.95
461,0.92,-0.29,0.73,-0.34,53.41,0.91,3.99,0,MISS,0.32
475,0.83,-0.41,0.64,-0.86,71.80,0.86,7.99,12,MISS,-0.87
474,0.23,0.57,0.59,0.40,35.93,0.95,7.98,8,MISS,0.81
467,0.10,0.62,0.57,-0.63,72,0.94,7.98,19,MISS,0.46
478,0.10,-0.15,0.77,0.82,54.79,0.91,3,1,MISS,0.50
500,0.10,-0.29,0.71,0.04,9.34,0.94,5.24,5,MISS,0.96
490,0.10,-0.37,0.58,0.55,71.77,0.94,8,19,HIT,0.45
476,0.10,-0.48,0.60,0.46,71.88,0.96,7.99,30,MISS,-0.70
475,0.10,-0.23,0.78,0.53,9,0.92,3,1,MISS,1.00
474,0.10,0.60,0.60,-0.52,69,0.92,7.98,12,MISS,1.00
478,0.10,-0.40,0.60,0.86,71.70,0.80,7.99,23,MISS,0.73
438,0.10,-4.34,0.58,0.93,71.10,0.71,6.72,34,MISS,-0.08
386,0.10,0,0.45,0.23,11.02,0.77,0,0,HIT,0.78
384,0.10,1.69,0.33,0.42,50.84,0.94,7.82,11,MISS,1.00
394,0.10,1.30,0.51,0.56,71.95,0.97,7.89,22,MISS,0.89
391,0.10,1.31,0.49,0.56,72,0.93,7.89,34,BULLETHITBULLET,0.96
380,0.10,0.57,0.75,0,19.47,0.88,2.43,2,MISS,-0.85
389,0.10,1.63,0.49,-0.27,37.97,0.87,7.83,8,MISS,0.76
359,0.10,1.68,0.37,-0.11,25.98,0.95,6.79,7,BULLETHITBULLET,0.69
390,0.10,-2.04,0.49,0.67,70.84,0.74,7.74,20,MISS,-0.92
375,0.10,1.61,0.51,0,71.94,0.96,7.84,18,MISS,-0.58
386,0.10,1.25,0.51,-0.01,15,0.87,5.87,6,MISS,-0.20
437,0.10,0.87,0.60,0.12,31.01,0.96,7.45,7,MISS,1.00
467,0.10,0.64,0.57,0.48,72,0.94,7.97,18,MISS,0.83
444,0.10,0.83,0.56,0.92,72,0.95,7.96,29,MISS,0.29
332,0.10,1.14,0.61,0.35,6.07,0.88,4.35,4,MISS,-0.86
282,0.15,2.07,0.41,-0.20,28.62,0.92,6.95,7,HIT,0.94
406,1.99,2.31,0.66,0,67.86,0.91,6.61,1,MISS,0.03
421,1.99,1.37,0.66,-0.19,50.88,0.78,7.88,10,MISS,-0.74
456,1.99,0.77,0.66,-0.07,44,0.92,7.96,9,MISS,0.13
472,1.99,-0.07,0.76,-0.70,65.81,0.90,4,0,MISS,-0.51
477,1.99,0,0.84,-0.53,51.95,0.70,0,0,BULLETHITBULLET,0.31
475,1.99,-0.56,0.66,0.31,40.93,0.88,7.98,8,MISS,0.23
477,1.99,-0.29,0.69,0.27,16.28,0.93,5.56,5,MISS,0.03
481,1.99,-0.58,0.68,-0.18,49.03,0.71,7.98,10,BULLETHITBULLET,-0.24
479,1.99,-0.44,0.61,-0.11,44,0.93,7.99,9,HIT,0.17
465,1.99,0.24,0.77,0.32,33.94,0.90,3,3,MISS,-0.76
476,1.99,0.19,0.81,-0.18,34.86,0.80,2.87,0,MISS,0.81
476,1.99,-0.09,0.69,-0.63,71.52,0.63,8,14,MISS,0.49
485,1.99,0,0.83,0.81,43.61,0.51,0,1,MISS,-0.44
488,1.99,-0.64,0.84,0.49,1,0.55,0.77,15,MISS,-0.77
472,1.99,0.85,0.45,-0.24,56.67,0.92,7.95,14,MISS,0.40
478,1.99,-0.44,0.65,-0.68,71.63,0.94,7.99,28,MISS,-0.43
464,1.99,0.72,0.74,0.50,20.50,0.83,6.46,6,MISS,-0.01
471,1.99,-0.04,0.76,-0.44,65.21,0.67,4,0,MISS,-0.96
476,1.99,-0.51,0.63,0.18,61.76,0.94,7.98,12,MISS,0.57
483,1.99,-0.59,0.68,-0.75,50.98,0.93,7.98,8,MISS,0.33
485,1.99,-0.33,0.73,0.30,26.74,0.91,6.74,7,MISS,-0.87
511,1.99,-0.63,0.73,-0.08,34.11,0.93,7.10,6,MISS,0.52
524,1.79,-0.76,0.69,-0.57,72,0.85,7.96,20,MISS,-0.31
519,1.79,-0.31,0.64,0.67,21.97,0.90,2.98,3,MISS,1.00
507,1.79,-0.68,0.68,-0.09,72,0.93,7.97,17,MISS,0.65
496,1.79,-0.45,0.67,0.78,71.94,0.91,7.99,31,MISS,-0.27
519,1.79,-0.10,0.84,0.75,42.97,0.86,1,1,MISS,0.99
523,1.79,-1.06,0.69,0,70.98,0.87,7.93,15,MISS,0.63
509,1.99,-0.32,0.78,0.84,62.95,0.84,4.99,1,MISS,-0.03
522,1.17,-0.50,0.66,-0.05,50.95,0.94,7.98,9,MISS,-0.80
532,1.79,-1.27,0.75,-0.14,38.92,0.82,5.86,4,HIT,-0.03
541,1.17,-0.82,0.63,0.27,54,0.93,7.96,10,HIT,0.58
544,1.84,-0.84,0.70,-0.65,72,0.93,7.96,23,MISS,0.32
562,1.62,-0.10,0.84,0.57,22,0.88,1,1,MISS,-0.19
571,0.14,-2.35,0.73,-0.17,15.15,0.83,5.52,6,BULLETHITBULLET,0.94
586,0.14,-0.79,0.62,-0.16,35.97,0.94,7.96,8,MISS,-0.62
543,0.14,-2.08,0.63,-0.51,68.99,0.90,7.72,10,MISS,0.21
536,0.14,-0.63,0.70,0,15,0.95,5.97,6,MISS,-0.74
530,0.14,-0.46,0.72,0.03,20.51,0.92,6.48,6,MISS,0.47
543,0.14,0.31,0.74,-0.70,65.90,0.84,5,0,MISS,-0.72
560,0.14,-0.92,0.72,0.54,9,0.92,5.42,5,MISS,0.51
558,0.14,-2.59,0.65,-0.49,71.95,0.91,7.57,16,MISS,-0.12
569,0.14,-0.71,0.55,-0.01,50.92,0.97,7.97,10,MISS,-0.33
502,0.14,-4.92,0.62,-0.34,61.93,0.67,6.31,12,MISS,-0.90
456,0.14,1,0.37,-0.22,43.93,0.94,7.94,9,HIT,0.97
338,1.99,4.65,0.58,0,35.17,0.89,6.51,8,MISS,-0.96
393,1.99,1.34,0.64,-0.19,43.87,0.87,7.89,9,MISS,0.50
407,1.99,-3.49,0.58,0.52,68.41,0.69,6.07,1,MISS,-0.36
439,1.99,0.98,0.46,-0.29,43.99,0.93,7.94,8,MISS,-0.27
424,1.99,-4.37,0.64,-0.28,56.68,0.62,6.70,11,MISS,-0.73
445,1.99,0.78,0.38,-0.08,35.93,0.90,5.95,2,MISS,0.36
471,1.99,0.72,0.63,0.45,71.76,0.92,7.97,16,HIT,-0.36
484,1.99,-0.23,0.76,-0.21,11.98,0.65,5,5,MISS,-0.58
509,1.99,-0.57,0.57,0.01,31,0.93,7.48,7,MISS,0.38
524,1.99,0.34,0.78,-0.55,57.94,0.86,2.98,0,MISS,-0.64
531,1.99,-0.62,0.73,-0.20,32.95,0.78,6.97,6,MISS,0.53
526,1.27,-1.30,0.72,0.62,66.46,0.49,5.86,0,MISS,-0.38
556,0.63,-0.83,0.60,-0.33,45.99,0.94,7.96,6,MISS,-0.90
559,0.61,-0.71,0.70,-0.05,26,0.80,6.96,7,HIT,0.46
539,0.58,-3.31,0.66,-0.66,71.13,0.74,7.28,19,MISS,0.08
472,0.63,0.34,0.50,0.07,32.96,0.91,2.98,0,MISS,0.03
455,0.27,0,0.79,0,0,0.36,0,19,BULLETHITBULLET,-0.84
458,0.27,0,0.82,0,0,0.43,0,8,MISS,-0.46
465,0.26,0.65,0.54,-0.31,50.52,0.96,7.97,30,MISS,1.00
474,0.25,0.78,0.59,0.45,71.95,0.94,7.96,41,MISS,1.00
481,0.25,-0.49,0.62,0.89,71.75,0.95,7.99,52,MISS,0.45
454,0.24,0.74,0.58,0.92,71.93,0.90,7.97,63,MISS,0.22
418,0.24,0.37,0.73,0,25.42,0.87,2.47,1,MISS,-0.47
420,0.23,-0.42,0.54,-0.43,55.09,0.75,7.99,11,MISS,-0.71
405,0.10,1.30,0.51,-0.08,25.98,0.94,6.88,7,MISS,0.17
418,0.10,0.85,0.57,-0.07,20.56,0.96,6.44,6,BULLETHITBULLET,0.89
418,0.10,0.89,0.63,0.25,15.26,0.82,5.93,6,MISS,-0.88
423,0.10,1.03,0.54,-0.78,72,0.95,7.93,17,MISS,-0.14
424,0.10,1.01,0.60,-0.08,26,0.94,6.93,7,MISS,-0.35
430,0.10,1.04,0.53,-0.22,43.99,0.93,7.93,9,BULLETHITBULLET,0.96
445,0.10,1.35,0.56,0,35.96,0.94,7.89,8,MISS,-0.86
449,0.10,1.09,0.55,-0.69,70.69,0.93,7.93,15,MISS,-0.83
480,0.10,-0.57,0.60,-0.22,43.94,0.96,7.98,9,MISS,-0.04
490,0.10,-0.15,0.76,0.34,32.97,0.86,2,2,MISS,0.31
463,0.10,0.26,0.78,0.42,25.47,0.85,2.49,2,MISS,0.20
449,0.10,0.44,0.69,0.05,6.17,0.92,4.73,5,HIT,-0.92
453,0.10,0.78,0.65,-0.30,48.62,0.97,6.96,1,MISS,0.38
451,0.10,0.77,0.55,0.47,71.99,0.87,7.96,12,MISS,-0.44
441,0.10,1,0.62,0.43,25.99,0.95,6.93,7,MISS,-0.06
457,0.10,0.39,0.72,0.19,10.56,0.88,3.98,4,MISS,0.03
603,1.99,-0.25,0.69,0,33.78,0.86,2.99,3,MISS,0.17
610,1.99,-0.89,0.73,-0.28,65.88,0.61,7.95,13,MISS,-0.67
626,1.99,-1.16,0.62,-0.12,51,0.84,7.92,10,MISS,0.32
623,1.99,-0.81,0.75,-0.52,29.91,0.69,5.94,5,MISS,0.19
618,1.99,-0.78,0.65,-0.05,52.94,0.85,5.95,2,MISS,-0.65
626,1.99,-1.10,0.74,0.07,47.50,0.62,7.92,9,MISS,0.21
603,1.99,-3.45,0.72,-0.65,70.93,0.47,7.22,25,MISS,-0.75
629,1.99,-0.97,0.56,0.40,31.47,0.92,6.43,6,MISS,0.59
627,1.99,-1.03,0.64,-0.47,56.92,0.86,7.93,8,HIT,0.29
622,1.99,-0.61,0.65,0.29,14.53,0.88,4.46,4,HIT,0.11
588,1.99,-0.92,0.74,-0.17,43.50,0.60,7.95,9,MISS,-0.71
571,1.99,-0.81,0.57,-0.21,26,0.92,6.95,7,MISS,0.61
573,1.99,-0.59,0.75,-0.39,53.94,0.85,4.96,2,MISS,0.65
561,1.99,0.16,0.83,0.62,50.90,0.69,2,0,MISS,0.50
548,1.99,-0.60,0.77,0.35,19.38,0.64,5.69,6,MISS,0.48
508,1.99,0,0.39,0.50,27.92,0.84,0,3,HIT,0.33
508,1.79,-0.69,0.45,0.17,44,0.92,7.97,31,BULLETHITBULLET,0.91
500,1.99,0,0.28,0.48,0,0.83,0,17,MISS,0.16
523,1.79,-0.31,0.78,0.34,4.37,0.72,4.49,4,MISS,-0.40
518,1.79,-0.29,0.58,0.24,10.25,0.91,3.99,4,MISS,0.45
493,1.99,-0.37,0.66,-0.37,71.77,0.91,8,22,MISS,-0.77
505,1.99,-0.53,0.72,0.50,31,0.80,7.48,7,MISS,0.64
494,1.99,-0.41,0.69,-0.51,71.41,0.58,7.99,11,MISS,0.31
490,1.99,0,0.42,0.62,6,0.85,0,6,MISS,-0.36
507,1.99,-0.07,0.52,0.39,16.92,0.88,1.50,1,MISS,-0.71
510,1.99,-0.56,0.78,-0.65,64.44,0.83,3.96,0,MISS,0.16
509,1.99,-0.63,0.66,-0.12,43.99,0.93,7.98,9,MISS,-0.60
503,1.79,-0.42,0.69,0.04,56.87,0.93,7.99,11,MISS,0.04
522,1.69,-0.19,0.79,0.33,20.98,0.90,2,2,MISS,0.01
516,1.45,-0.49,0.69,0.08,59.44,0.89,7.98,11,MISS,-0.81
534,1.26,-0.52,0.75,0,18,0.95,4.97,5,MISS,0.69
548,1.11,-0.85,0.67,-0.50,72,0.94,7.96,18,HIT,0.57
564,0.98,0.10,0.86,0.68,44.88,0.87,1,0,MISS,0.23
551,0.88,-2.64,0.67,0.48,49.25,0.85,7.55,10,MISS,-0.58
527,1.15,-0.38,0.66,0.37,10.91,0.91,3.98,4,MISS,1.00
517,0.81,-0.73,0.65,-0.34,72,0.95,7.97,17,MISS,1.00
487,0.45,-0.61,0.63,0.79,72,0.96,7.98,29,MISS,0.94
457,0.42,0.71,0.59,0.80,71.86,0.95,7.97,41,HIT,0.42
432,0.40,0.94,0.59,0.86,72,0.92,7.94,53,MISS,-0.51
408,0.45,1.48,0.53,-0.36,56.81,0.97,7.86,11,MISS,-0.11
423,0.42,0.78,0.63,0,15.29,0.91,5.95,6,MISS,-0.19
424,0.40,-0.03,0.75,-0.14,2,0.86,2,0,MISS,-0.21
436,0.38,1.10,0.59,-0.11,56.83,0.90,7.92,11,BULLETHITBULLET,-0.20
437,0.36,1.06,0.59,0,56.85,0.96,7.93,11,MISS,-0.82
459,0.25,1,0.57,-0.64,68.69,0.86,7.94,14,MISS,-1.00
487,0.10,-0.60,0.59,-0.21,43.98,0.94,7.98,9,MISS,0.44
503,0.10,-0.66,0.61,-0.95,72,0.95,7.97,20,MISS,-0.46
530,0.10,-0.48,0.62,-0.13,44.92,0.92,6.98,2,MISS,-0.06
540,0.10,-0.43,0.74,0.14,3.03,0.86,4.98,5,MISS,-0.38
532,0.10,-0.31,0.77,0.17,9.03,0.92,2.98,1,MISS,1.00
488,0.10,-0.61,0.59,-0.30,71,0.94,7.98,13,MISS,0.91
437,0.10,0.44,0.57,0.89,72,0.92,7.99,26,MISS,0.14
360,0.10,0.21,0.65,0.45,42.96,0.82,0.98,1,MISS,1.00
345,0.10,2.11,0.44,0.92,71.48,0.93,7.72,18,HIT,0.95
219,1.99,1.31,0.65,0,22.81,0.84,2.13,2,BULLETHITBULLET,-0.78
283,1.99,1.20,0.63,-0.51,53.89,0.91,4.85,1,MISS,-0.79
336,1.99,2.20,0.59,-0.62,63.51,0.87,7.69,12,MISS,-0.92
331,1.99,2.18,0.55,-0.18,43.92,0.90,7.70,9,MISS,0.49
334,1.99,-0.04,0.73,0.60,56.66,0.83,2,0,MISS,-0.44
349,1.99,1.63,0.62,-0.33,29.96,0.94,6.81,7,MISS,-0.44
352,1.99,1.94,0.51,-0.36,61.69,0.89,7.76,12,MISS,-1.00
358,1.99,1.62,0.59,-0.26,51,0.90,7.83,10,MISS,1.00
363,1.27,1.80,0.55,-1,71.97,0.93,7.79,25,HIT,0.90
406,1.18,1.52,0.58,1,71.60,0.91,7.85,39,MISS,0.02
450,1.37,0.27,0.75,0.33,22.29,0.90,2.99,3,MISS,0.03
479,1.27,-0.47,0.65,0.11,43.97,0.89,7.99,9,HIT,0.15
497,1.18,-0.45,0.66,-0.10,35.96,0.95,7.99,8,MISS,-0.21
504,1.11,-0.42,0.67,0.08,50.90,0.87,7.99,10,MISS,-0.74
524,1.29,-0.62,0.68,-0.24,26,0.94,6.97,7,MISS,0.35
530,1.20,-0.72,0.68,-0.52,72,0.82,7.97,12,MISS,-0.61
528,1.12,-0.66,0.63,0.45,36,0.92,7.97,8,HIT,0.57
518,1.05,-0.67,0.65,-0.48,72,0.88,7.97,21,MISS,0.22
513,1.20,-0.08,0.72,0.19,9,0.87,1,1,MISS,0.08
511,0.55,-0.35,0.73,0.07,4.25,0.92,4.36,4,BULLETHITBULLET,0.89
511,1.12,-0.32,0.68,0,5.71,0.92,4.49,4,MISS,-0.24
505,0.52,-0.55,0.63,-0.10,38.49,0.79,7.98,8,MISS,-0.13
511,0.50,-0.45,0.66,0.03,12.01,0.93,5.48,5,MISS,0.03
507,0.19,-0.25,0.66,0.03,14.17,0.93,3.49,3,BULLETHITBULLET,0.96
506,0.49,-0.50,0.70,-0.16,15,0.85,5.98,6,MISS,-0.35
496,0.19,-0.60,0.61,-0.23,56.25,0.95,7.98,11,MISS,-0.76
498,0.19,-0.39,0.60,-0.61,71.74,0.84,8,16,MISS,-0.96
524,0.10,-0.76,0.61,-0.43,66,0.95,7.96,13,BULLETHITBULLET,0.42
509,0.10,-0.56,0.60,0.42,72,0.93,7.98,24,MISS,0.12
520,0.10,0.22,0.79,0.46,59.93,0.77,1.99,0,MISS,-0.70
521,0.10,-0.64,0.62,-0.61,68.83,0.95,7.97,4,MISS,-0.66
422,1.99,1.36,0.54,0,56.77,0.93,7.88,11,MISS,1.00
429,1.99,0.97,0.64,0.45,71.98,0.92,7.94,13,MISS,0.78
407,1.99,1.16,0.65,0.89,72,0.94,7.91,28,MISS,0.17
367,1.99,1.25,0.69,0.32,28.43,0.92,5.36,3,MISS,-0.42
397,1.99,0.77,0.73,0.17,6.22,0.91,4.94,5,MISS,0.31
429,1.99,1.20,0.64,-0.33,71.93,0.83,7.91,19,MISS,-0.93
433,1.99,0.88,0.66,0.43,31.01,0.91,7.45,7,MISS,1.00
464,1.99,0.67,0.68,0.82,72,0.91,7.97,35,BULLETHITBULLET,0.91
449,1.99,0.80,0.67,-0.60,72,0.94,7.96,21,MISS,1.00
475,1.99,-0.56,0.67,0.81,71.87,0.70,7.98,50,MISS,0.08
464,1.99,0,0.84,0.45,51.53,0.39,0,0,HIT,-0.45
483,1.99,0.04,0.65,0.12,46.97,0.86,1,0,MISS,-0.41
482,1.99,-0.13,0.82,-0.43,28.98,0.72,1.49,1,MISS,0.30
469,1.99,-2.15,0.68,-0.27,67.15,0.54,7.70,11,HIT,-0.70
478,1.99,-0.32,0.51,0.51,7.74,0.92,4.11,4,MISS,0.41
477,1.99,-0.32,0.62,-0.46,71.89,0.94,8,18,MISS,-0.61
487,1.99,-0.30,0.76,0.59,10.03,0.80,3.99,4,MISS,0.62
480,1.99,-1.55,0.69,-0.49,71.44,0.56,7.85,12,MISS,0.25
475,1.99,-1.51,0.79,0.05,13.54,0.53,2.30,3,MISS,-0.26
452,1.99,0,0.83,0.22,11.21,0.44,0,5,MISS,-0.89
454,1.79,0.77,0.54,-0.16,61.98,0.94,7.96,21,BULLETHITBULLET,0.97
467,1.79,0.77,0.65,-0.76,71.94,0.95,7.96,11,MISS,0.20
479,1.79,-0.48,0.70,0.09,25.95,0.88,6.98,7,MISS,-0.69
470,1.79,-0.17,0.81,-0.14,44.98,0.88,2,0,MISS,0.43
486,1.79,-0.34,0.68,-0.61,70.35,0.94,8,15,MISS,0.10
480,1.79,-0.36,0.66,0.02,43.96,0.92,8,9,MISS,-0.08
463,1.79,0.83,0.66,0.07,44,0.92,7.96,9,MISS,-0.61
498,1.79,-0.58,0.73,0,47.98,0.94,6.98,1,MISS,0.28
488,0.94,-0.36,0.64,-0.56,71.83,0.93,8,13,MISS,-0.65
485,1.14,-0.38,0.75,0.50,3.17,0.94,4.99,5,MISS,0.53
500,1.32,-0.15,0.71,0.57,68.83,0.95,7,1,MISS,-0.02
482,1.44,-0.34,0.65,-0.21,56.90,0.93,8,11,MISS,-0.54
470,1.51,0.65,0.66,-0.10,43.98,0.94,7.97,9,MISS,-0.17
497,1.46,-0.27,0.79,-0.59,22,0.89,2.99,3,MISS,0.21
514,1.27,-0.71,0.66,-0.05,72,0.94,7.97,16,MISS,-0.27
506,0.92,-0.69,0.64,0.36,36,0.95,7.97,8,MISS,-0.25
482,0.10,1.59,0.59,0,71.85,0.95,7.84,20,MISS,-0.69
480,0.10,-0.31,0.60,-0.53,68.81,0.96,8,14,MISS,-0.82
485,0.10,-0.33,0.59,-0.67,71.74,0.95,8,16,MISS,-0.57
234,1.99,2.24,0.44,0,15.64,0.91,5.57,6,MISS,-0.72
266,1.99,-1.15,0.49,-0.50,47.41,0.79,7.92,9,MISS,-0.74
285,1.99,2.46,0.46,-0.52,61.79,0.90,7.61,12,MISS,-0.90
348,1.99,1.31,0.57,-0.80,68.80,0.78,7.89,14,MISS,-0.46
348,1.99,1.86,0.57,-0.38,61.85,0.90,7.78,12,MISS,-0.31
370,1.99,0.60,0.60,-0.20,43.98,0.82,7.98,9,MISS,-0.22
371,1.99,1.67,0.60,-0.17,50.90,0.92,7.82,10,HIT,-0.37
427,1.79,1.04,0.61,-0.18,44,0.94,7.93,9,MISS,0.30
469,1.64,0.64,0.65,-0.95,72,0.83,7.97,23,MISS,-0.55
488,1.50,0.15,0.79,-0.25,51.94,0.84,3,0,MISS,0.17
511,1.39,-0.36,0.69,0.17,15.03,0.94,5.99,6,MISS,-0.59
515,1.29,-0.08,0.86,0.16,14.11,0.79,0.87,1,MISS,0.27
527,1.20,-0.52,0.68,-0.43,68.44,0.71,7.98,14,MISS,-0.76
549,1.12,-0.72,0.62,0.42,26,0.93,6.96,7,MISS,1.00
545,1.05,-0.73,0.68,-0.51,71.97,0.91,7.97,20,MISS,0.77
551,1.21,-0.86,0.67,0.82,72,0.72,7.95,33,MISS,0.19
527,1.13,0,0.32,0.77,43.61,0.82,0,1,MISS,0.09
488,1.06,-0.38,0.51,0.26,29.40,0.95,5.99,4,MISS,-0.11
498,1,-0.91,0.72,0.16,20.47,0.60,6.44,6,MISS,-0.52
512,0.94,-0.10,0.46,-0.18,8.06,0.85,1,1,MISS,1.00
515,0.88,-0.69,0.60,-0.30,68.99,0.94,7.97,14,MISS,0.66
522,0.84,-0.66,0.69,0.79,59.94,0.93,6.97,3,MISS,0.11
547,0.79,-0.63,0.69,0.25,26,0.96,6.97,7,MISS,0.04
560,0.75,-0.60,0.71,0.03,25.99,0.86,6.97,7,MISS,-0.24
587,0.72,-0.74,0.73,-0.10,34.85,0.93,5.83,3,MISS,-0.22
601,0.10,-1.06,0.67,-0.07,43,0.90,7.93,9,MISS,-0.18
624,0.10,-0.81,0.72,0.03,25.54,0.95,6.61,6,MISS,-0.50
630,0.10,-0.25,0.81,0.14,1.03,0.82,1.64,1,MISS,0.43
625,0.10,-0.97,0.67,-0.28,70.24,0.78,7.94,14,MISS,-0.55
628,0.10,-0.45,0.64,0.62,22.04,0.91,2.97,3,MISS,0.45
628,0.10,-1.15,0.67,-0.19,69,0.94,7.92,14,MISS,0.08
634,0.10,-0.71,0.77,0.54,9.40,0.91,5.45,5,MISS,-0.48
623,0.10,-0.45,0.80,0.07,17.53,0.92,3.22,3,HIT,0.45
622,0.10,-0.95,0.68,-0.26,69.37,0.85,7.94,13,HIT,-0.58
629,0.10,-0.39,0.70,0.56,25.48,0.89,2.47,2,MISS,0.41
630,0.10,-1.18,0.67,-0.15,67.50,0.94,7.91,13,MISS,0.08
623,0.10,-0.48,0.75,0.57,11.09,0.92,3.47,3,MISS,0.04
617,0.10,-0.41,0.78,0.02,22.08,0.92,2.97,3,MISS,-0.11
628,0.10,-0.42,0.81,0.16,6.86,0.90,2.69,3,MISS,-0.20
636,0.10,-0.07,0.83,0.26,46.37,0.82,2,0,MISS,-0.92
603,0.10,-0.91,0.67,0.05,50.95,0.95,7.95,10,MISS,1.00
583,0.10,-0.96,0.66,-0.77,59.94,0.92,7.94,6,MISS,1.00
545,0.10,-0.85,0.63,0.86,72,0.83,7.96,17,MISS,0.90
477,0.11,-3.82,0.61,0.79,71.66,0.76,7.03,28,MISS,0.13
396,0.10,-1.92,0.69,0.89,65.94,0.62,3.51,0,HIT,-0.82
390,0.10,1.44,0.34,0.18,43.98,0.93,7.87,9,MISS,-0.11
423,0.10,-1.03,0.69,0.22,10.17,0.82,3.87,4,MISS,-0.04
422,0.10,0.79,0.60,0.18,9.05,0.94,5.44,5,MISS,-0.36
470,0.10,0.71,0.57,-0.43,62,0.93,7.97,12,MISS,0.95
474,0.10,-0.49,0.60,0.48,71.56,0.97,7.98,23,MISS,0.21
484,0.10,-0.21,0.74,0.42,7.97,0.91,3.49,3,MISS,-0.05
464,0.10,0.72,0.58,0.05,44,0.95,7.97,9,MISS,-0.98
484,0.10,-0.58,0.59,-0.35,56.89,0.95,7.98,11,HIT,0.89
480,0.10,-0.53,0.60,0.46,71.99,0.92,7.98,22,MISS,0.47
471,0.10,-1.40,0.57,0.92,71.77,0.91,7.88,33,MISS,-0.85
477,0.10,-0.51,0.60,0.46,71.62,0.96,7.98,25,BULLETHITBULLET,0.42
475,0.10,0.68,0.56,-0.50,68.86,0.97,7.97,14,HIT,0.90
468,0.10,0.58,0.56,0.92,71.92,0.94,7.98,36,MISS,-0.33
482,0.10,-0.36,0.60,-0.63,70.80,0.95,8,15,BULLETHITBULLET,0.89
